rating_int,y_unit,psi,bin_count,alpha_prior,baseline_cum,u_logit_mu_sigma
0,0.0049504950495049506,-0.09129211596375462,1579.0,7195.795326442697,0.0,-5.303304908059076
1,0.01485148514851485,-0.09050812307672051,2255.0,5039.608428980258,0.0007839928870341156,-5.303304908059076
2,0.024752475247524754,-0.08964428558993098,2601.0,4369.468338116626,0.0016478303738236486,-5.303304908059076
3,0.034653465346534656,-0.08874052873127775,2101.0,5408.828076013065,0.0025515872324768755,-5.303304908059076
4,0.04455445544554455,-0.08789361048066774,2225.0,5107.527680044682,0.0033985054830868834,-5.303304908059076
5,0.054455445544554455,-0.08703349977011546,1837.0,6185.721771370763,0.0042586161936391705,-5.303304908059076
6,0.06435643564356436,-0.08621783748350399,1786.0,6362.258878444019,0.005074278480250633,-5.303304908059076
7,0.07425742574257425,-0.08540877962530291,1533.0,7411.575368826246,0.005883336338451717,-5.303304908059076
8,0.08415841584158416,-0.08462911668539295,1280.0,8875.375968602235,0.006662999278361666,-5.303304908059076
9,0.09405940594059406,-0.08387876199455932,1303.0,8718.831760567073,0.007413353969195301,-5.303304908059076
10,0.10396039603960396,-0.08312631435930835,1089.0,10430.602399797672,0.008165801604446271,-5.303304908059076
11,0.11386138613861387,-0.08239829221696365,1183.0,9602.497141705628,0.00889382374679097,-5.303304908059076
12,0.12376237623762376,-0.07655447673155295,1004.0,11312.792652516879,0.009632174751372081,-4.894296459958975
13,0.13366336633663367,-0.04254008926305512,925.0,12277.922911208922,0.010349998035302595,-3.446097321808292
14,0.14356435643564355,-0.029874480038060633,991.0,11461.044975584136,0.011058621499200562,-2.856672848580835
15,0.15346534653465346,-0.01234515629139992,1148.0,9895.001406248444,0.011774911674993253,-2.4727689147438525
16,0.16336633663366337,-0.00552524161634522,1428.0,7956.16278221096,0.012509627257374362,-2.183507600381181
17,0.17326732673267325,-0.004757933724369496,1659.0,6849.0100095057005,0.013276935149350086,-1.948717466289237
18,0.18316831683168316,-0.003954495461606191,1757.0,6467.210816711867,0.014071199509545938,-1.749223007893207
19,0.19306930693069307,-0.003148042364672121,2329.0,4879.5521956135035,0.014877652606480008,-1.5743497823657309
20,0.20297029702970298,-0.0022760415748110593,2141.0,5307.822883183689,0.01574965339634107,-1.4175297487567096
21,0.21287128712871287,-0.0014239056032277868,3032.0,3748.5514723967894,0.016601789367924343,-1.274422771743268
22,0.22277227722772278,-0.0004691872462605981,3489.0,3257.6953053809343,0.01755650772489153,-1.1420016779711233
23,0.23267326732673269,0.0005394077397730679,3813.0,2980.9534912898434,0.018565102710925197,-1.0180623987738482
24,0.24257425742574257,0.0015869090048215226,4823.0,2356.8318026076827,0.019612603975973652,-0.9009420367053127
25,0.2524752475247525,0.009729821671260705,4333.0,2623.2940968572825,0.020775836751740894,-0.7893469901872796
26,0.2623762376237624,0.010838475094598067,4742.0,2397.0813020829564,0.021884490175078257,-0.6822430820187066
27,0.2722772277227723,0.014917575423211121,5287.0,2150.0296172048907,0.02304015227781044,-0.578782417810676
28,0.28217821782178215,0.017757297546823328,4480.0,2537.236468596175,0.02425790233211046,-0.47825290578963126
29,0.29207920792079206,0.021692922578030224,4653.0,2442.9214902835115,0.025383867345505243,-0.3800422192744858
30,0.30198019801980197,0.02283746174112535,4365.0,2604.067021479492,0.026528406508600368,-0.28361119073694585
31,0.3118811881188119,0.0279302005487966,4659.0,2439.7760978067517,0.027640436517698878,-0.1884734569094778
32,0.3217821782178218,0.03014347503759192,5034.0,2258.0648690723856,0.028786313197595677,-0.09417925149814033
33,0.3316831683168317,0.03133224829400203,4616.0,2462.498725531614,0.02997508645400579,-0.0003018872848473686
34,0.3415841584158416,0.03319164802314844,5035.0,2257.616484467725,0.031116812381236092,0.09357414570988998
35,0.35148514851485146,0.03533346299074794,4201.0,2705.701241261176,0.032305164003628165,0.18786432200975545
36,0.3613861386138614,0.03642649487371686,4128.0,2753.537567396334,0.033398195886597086,0.28299522007809663
37,0.3712871287128713,0.038251404722844086,3994.0,2845.8965246006164,0.03448171523763675,0.3794164166883516
38,0.3811881188118812,0.03957617370243742,3317.0,3426.5692030679515,0.03554897591245848,0.4776139912970532
39,0.3910891089108911,0.04259581942459133,3572.0,3182.0197637222113,0.036538673496044644,0.5781267118846163
