photo,Theta,sigma,n
1.jpg,1.1072725588511676,1.0137949933848045,170
10.jpg,0.6335132467178122,0.5676156923610999,170
100.jpg,-0.14101434122536743,0.16299201298777402,170
1000.jpg,0.25469035266405876,0.21081031626482089,170
1001.jpg,-1.0263462922987627,0.9960780342939634,170
1002.jpg,0.19447677651664896,0.15479030618281445,170
1003.jpg,-0.3216705613431238,0.3323415152222745,170
1004.jpg,-2.0234519471757126,1.9340933820797994,170
101.jpg,0.9088400078815617,0.8274092190493817,170
102.jpg,2.050452154072449,1.9009580180520753,170
103.jpg,-0.28680109439986756,0.29956823226394447,170
104.jpg,0.12746332143350125,0.0922201596269769,170
105.jpg,-0.07932711820783729,0.10529661952388387,170
106.jpg,-0.3171773719586855,0.32809763683289034,170
107.jpg,0.34259754341033677,0.2941093053304386,170
108.jpg,-0.35569767740879754,0.3643247316219352,170
109.jpg,-0.33584491381213327,0.34559869601560633,170
11.jpg,0.30119161891326623,0.2553338192977811,170
110.jpg,-1.9933951944992032,1.9058621826437652,170
111.jpg,1.592095415324887,1.4700157126566442,170
112.jpg,-0.359479349817282,0.36789707866326293,170
113.jpg,-0.4513299930610671,0.4549835005741579,170
114.jpg,-1.9944722901513061,1.90691523954991,170
115.jpg,-0.09542898717948001,0.11981731806021717,170
116.jpg,1.8518514998823377,1.7142343914834792,170
117.jpg,0.23656684514366358,0.19386288453940553,170
118.jpg,0.4542273935814377,0.3993313169248807,170
119.jpg,-0.14431469935060848,0.16573616925549117,170
12.jpg,-1.978828912519599,1.8920873396030662,170
120.jpg,-1.3784902613571821,1.3275055704970584,170
121.jpg,-0.8960744663023463,0.8732714083881136,170
122.jpg,-0.27357785270162627,0.28707984208256454,170
123.jpg,2.02845120349095,1.8803474693531266,170
124.jpg,-0.18968659776869656,0.20817208637072143,170
125.jpg,1.9611892788061502,1.8170409796528093,170
126.jpg,1.0500849666942504,0.9601892550536192,170
127.jpg,-1.8988200167044498,1.8169679252206163,170
128.jpg,-0.16736141435340063,0.18725601548775506,170
129.jpg,-2.0041570672577174,1.915930237740872,170
13.jpg,0.6168416775716543,0.5521214160341592,170
130.jpg,1.0292473511940714,0.9404056808144975,170
131.jpg,-0.27015051334227824,0.2839135918878903,170
132.jpg,1.0819096069494263,0.9899460274304687,170
133.jpg,-0.5120897923162357,0.5115708704554939,170
134.jpg,0.5313093068639517,0.4719112825882847,170
135.jpg,0.21794119754350036,0.17649892071037793,170
136.jpg,-1.947105131978467,1.8622238806297935,170
