rating_int,y_unit,psi,bin_count,alpha_prior,baseline_cum
3,0.034653465346534656,-1.2355333814970297,2123.0,7560.875984018297,0.018587366517227127
4,0.04455445544554455,-1.2293367786677223,2194.0,7316.310063806316,0.024783969346534485
5,0.054455445544554455,-1.223103645830753,1793.0,8951.672569707282,0.03101710218350389
6,0.06435643564356436,-1.217099905981943,1848.0,8685.397831289813,0.03702084203231398
7,0.07425742574257425,-1.2110685607377947,1573.0,10202.859332944641,0.04305218727646215
8,0.08415841584158416,-1.2051967458669601,1226.0,13088.264539572016,0.04892400214729683
9,0.09405940594059406,-1.1995250554722143,1333.0,12038.45621443393,0.05459569254204256
10,0.10396039603960396,-1.1937951267116143,1139.0,14087.10578074988,0.06032562130264258
11,0.11386138613861387,-1.188175607820277,1190.0,13483.87958862709,0.06594514019397997
12,0.12376237623762376,-1.182529156978757,985.0,16287.323113645905,0.07159159103549975
13,0.13366336633663367,-1.1770002779493296,947.0,16940.190495838466,0.07712047006492737
14,0.14356435643564355,-1.1714940618134018,1006.0,15947.666921603639,0.08262668620085513
15,0.15346534653465346,-1.165953236452517,1172.0,13690.793341905253,0.08816751156174003
16,0.16336633663366337,-1.0575918082878515,1478.0,10858.21540909727,0.09380574051631568
17,0.17326732673267325,-0.9497605784913704,1651.0,9721.126265166382,0.09962156574251156
18,0.18316831683168316,-0.8560161973945515,1734.0,9256.08103173191,0.1055389523542289
19,0.19306930693069307,-0.6522341308441773,2174.0,7383.586478186145,0.1115075617900918
20,0.20297029702970298,-0.5543825953701479,2237.0,7175.737529068304,0.11772953886165624
21,0.21287128712871287,-0.3116480880323774,3014.0,5326.4678573979645,0.12399479796057403
22,0.22277227722772278,-0.23067584849930792,3380.0,4749.867077803864,0.13070848369250262
23,0.23267326732673269,-0.006270249688597768,4025.0,3988.897314966434,0.1376405413362167
24,0.24257425742574257,0.09901710030993711,4595.0,3494.1907289066285,0.14494824083172458
25,0.2524752475247525,0.1233487808391969,4282.0,3749.5448494174325,0.15258500319843252
26,0.2623762376237624,0.24126384294721348,4850.0,3310.513417863299,0.16004880142498235
27,0.2722772277227723,0.26551946113596603,5168.0,3106.8486341758294,0.16783859981128507
28,0.28217821782178215,0.2957570788224243,4443.0,3613.7040031626602,0.17580997657969377
29,0.29207920792079206,0.34810828315977094,4548.0,3530.2925016607746,0.18336775846975245
30,0.30198019801980197,0.3710192965658614,4402.0,3647.3542107778476,0.19098069844608379
31,0.3118811881188119,0.4051967076376166,4725.0,3398.0746064441096,0.19851235652014687
32,0.3217821782178218,0.43076337136098286,5029.0,3192.703894643114,0.20623030709240572
33,0.3316831683168317,0.4468228026926249,4723.0,3399.513249376559,0.21412282050506182
34,0.3415841584158416,0.46093975981212054,5109.0,3142.720272026392,0.2218437635162298
35,0.35148514851485146,0.47669037847724516,4285.0,3746.9203429899353,0.22977961166064273
36,0.3613861386138614,0.5044939390729823,4176.0,3844.6972923281937,0.23724419459720003
37,0.3712871287128713,0.5156220189373779,4024.0,3989.8883453552457,0.2446405077631058
38,0.3811881188118812,0.5229264390477798,3337.0,4811.054700435849,0.25194492787350775
39,0.3910891089108911,0.5534692049376234,3398.0,4724.713324523349,0.2588545510094704
40,0.400990099009901,0.5644940455078626,3241.0,4953.516529936725,0.2657942390796006
41,0.41089108910891087,0.5991423785443828,3423.0,4690.216293824435,0.2726452490628397
42,0.4207920792079208,0.6194142185441256,3407.0,4712.236088631122,0.27959969436594656
43,0.4306930693069307,0.6263588198358698,3112.0,5158.785926776378,0.2865442956576908
44,0.4405940594059406,0.6459925704199341,3594.0,4467.121165522911,0.29332232761023347
45,0.4504950495049505,0.65303942411049,2558.0,6275.615705375093,0.3003691813007893
46,0.4603960396039604,0.6630847212740226,2645.0,6069.274599416048,0.3068248145611508
47,0.47029702970297027,0.6695839059397997,2592.0,6193.328418841057,0.3133239992269279
48,0.4801980198019802,0.6760495003324204,1963.0,8176.833294325287,0.31978959361954856
49,0.4900990099009901,0.6821537591907718,1955.0,8210.276375283673,0.32589385247790004
50,0.5,0.6973261881988829,1920.0,8359.864960986395,0.33198963178333474
51,0.5099009900990099,0.7109840566838836,1874.0,8564.960314695927,0.33806500862857475
52,0.5198019801980198,0.7263178748084445,1840.0,8723.139918552342,0.34411358235661865
53,0.5297029702970297,0.7959433743053693,1831.0,8765.993771864009,0.3501423216608166
54,0.5396039603960396,0.8109580458665648,2370.0,6773.218300318374,0.35616885323611286
55,0.5495049504950495,0.8172890624929012,1552.0,10340.8245911493,0.36249986986244925
56,0.5594059405940595,0.8231544005781517,1656.0,9691.792751994486,0.3683652079476997
57,0.5693069306930693,0.8290739949187707,1547.0,10374.225187373942,0.37428480228831873
58,0.5792079207920792,0.8349282650792886,970.0,16538.92954691541,0.3801390724488367
59,0.5891089108910891,0.8404534430883825,1428.0,11238.138971347,0.3856642504579305
60,0.599009900990099,0.8462356546172427,1013.0,15837.57454640519,0.3914464619867907
61,0.6089108910891089,0.8517830387483394,1125.0,14262.256296673946,0.3969938461178874
62,0.6188118811881188,0.8573916126918857,1013.0,15837.57454640519,0.40260242006143376
63,0.6287128712871287,0.8629361390731045,940.0,17066.20679070655,0.4081469464426525
64,0.6386138613861386,0.8684387888777295,1055.0,15207.67101330953,0.41364959624727754
65,0.6485148514851485,0.8740051114578129,731.0,21938.935232315383,0.419215918827361
66,0.6584158415841584,0.8793859555299324,695.0,23073.7077443317,0.42459676289948034
67,0.6683168316831684,0.8847436740810101,598.0,26810.18462446555,0.4299544814505581
68,0.6782178217821783,0.890044635845576,448.0,35766.816458919515,0.43525544321512405
69,0.6881188118811881,0.8952588461620007,431.0,37174.3069214233,0.4404696535315487
70,0.698019801980198,0.9004613970931648,256.0,62487.55093406562,0.44567220446271283
71,0.7079207920792079,0.9055633060378461,237.0,67476.05289939018,0.4507741134073941
72,0.7178217821782178,0.9106532920752494,238.0,67193.72631822119,0.4558640994447974
73,0.7277227722772277,0.9157433542412354,172.0,92828.32711014371,0.4609541616107835
74,0.7376237623762376,0.9207951061619306,97.0,97270.14288343345,0.4660059135314787
75,0.7475247524752475,0.9258036170475863,129.0,97270.14288343345,0.4710144244171343
76,0.7574257425742574,0.930829760484231,79.0,97270.14288343345,0.47604056785377913
77,0.7673267326732673,0.935827384982544,77.0,97270.14288343345,0.48103819235209205
