ENGLISHword	POLISHword	NumberoflettersinPolish	Ciepło_M	Kompetencja_M	Ciepło_N	Kompetencja_N	subtlex_plfrequency	Kazojć2011frequency	partofspeach	NumberofLetters	Valence_N	Valence_MIN	Valence_MAX	Valence_M	Valence_SD	arousal_N	arousal_MIN	arousal_MAX	arousal_M	arousal_SD	dominance_N	dominance_MIN	dominance_MAX	dominance_M	dominance_SD	origin_N	origin_MIN	origin_MAX	origin_M	origin_SD	significance_N	significance_MIN	significance_MAX	significance_M	significance_SD	concretness_N	concretness_MIN	concretness_MAX	concretness_M	concretness_SD	imegability_N	imegability_MIN	imegability_MAX	imegability_M	imegability_SD	ageOfAquisition_N	ageOfAquisition_MIN	ageOfAquisition_MAX	ageOfAquisition_M	ageOfAquisition_SD	Valence_N_Female	Valence_MIN_Female	Valence_MAX_Female	Valence_M_Female	Valence_SD_Female	arousal_N_Female	arousal_MIN_Female	arousal_MAX_Female	arousal_M_Female	arousal_SD_Female	dominance_N_Female	dominance_MIN_Female	dominance_MAX_Female	dominance_M_Female	dominance_SD_Female	origin_N_Female	origin_MIN_Female	origin_MAX_Female	origin_M_Female	origin_SD_Female	significance_N_Female	significance_MIN_Female	significance_MAX_Female	significance_M_Female	significance_SD_Female	concretness_N_Female	concretness_MIN_Female	concretness_MAX_Female	concretness_M_Female	concretness_SD_Female	imegability_N_Female	imegability_MIN_Female	imegability_MAX_Female	imegability_M_Female	imegability_SD_Female	ageOfAquisition_N_Female	ageOfAquisition_MIN_Female	ageOfAquisition_MAX_Female	ageOfAquisition_M_Female	ageOfAquisition_SD_Female	Valence_N_Male	Valence_MIN_Male	Valence_MAX_Male	Valence_M_Male	Valence_SD_Male	arousal_N_Male	arousal_MIN_Male	arousal_MAX_Male	arousal_M_Male	arousal_SD_Male	dominance_N_Male	dominance_MIN_Male	dominance_MAX_Male	dominance_M_Male	dominance_SD_Male	origin_N_Male	origin_MIN_Male	origin_MAX_Male	origin_M_Male	origin_SD_Male	significance_N_Male	significance_MIN_Male	significance_MAX_Male	significance_M_Male	significance_SD_Male	concretness_N_Male	concretness_MIN_Male	concretness_MAX_Male	concretness_M_Male	concretness_SD_Male	imegability_N_Male	imegability_MIN_Male	imegability_MAX_Male	imegability_M_Male	imegability_SD_Male	ageOfAquisition_N_Male	ageOfAquisition_MIN_Male	ageOfAquisition_MAX_Male	ageOfAquisition_M_Male	ageOfAquisition_SD_Male	Ady	POSITIVITYmean	NEGEATIVITYmean	AUTOMATICITYmean	REFLECTIVENESSmean	SUBJECTIVESIGNIFICANCEmean	AROUSALmean	ambiVALmean	ambiORImean	ambiACTmean	CategoryambiACT	CategoryambiORI	CategoryambiVAL	V1
grenade	granat	6	58,2068965517241	54,0714285714286	29	28	712	837	N	6	50	1	8	4,52	1,52850467143946	50	1	9	5,24	2,45415100245628	50	2	8	5,94	1,67100116635482	50	1	9	5,3	2,12132034355964	50	1	7	2,92	1,91492526629898	50	1	9	2,08	2,00855313952251	50	1	9	7,7	1,60674598274314	50	3	16	9,3	3,56427855710704	25	1	7	4,28	1,48660687473185	25	1	9	5,52	2,36502290334223	25	2	8	5,92	1,77763888346312	25	1	9	5,2	2,10158670215308	25	1	7	2,68	1,74928556845359	25	1	7	1,48	1,26227308191743	25	6	9	7,92	1,03762549441823	25	3	16	9,84	3,60185137579736	25	2	8	4,76	1,56204993518133	25	1	9	4,96	2,55734237050888	25	2	8	5,96	1,59373774505092	25	1	9	5,4	2,17944947177034	25	1	7	3,16	2,07525098883645	25	1	9	2,68	2,42761886080442	25	1	9	7,48	2,02319878739914	25	5	16	8,76	3,51520506751266	 	18,19	44,24	34,38	67,24	32,85	54,29	62,43	101,62	87,14	0,2	1	0,2	921
vampire	wampir	6	29,1379310344828	40,6666666666667	29	27	737	701	N	6	50	1	9	4,52	1,95082400172704	50	1	9	4,9	2,45988219396037	49	1	9	5,79591836734694	1,76752642409214	50	1	9	5,04	2,2402623753043	50	1	8	3	2,26778683805536	50	1	9	4,42	3,08445741598428	50	1	9	7,96	1,65319727331308	50	3	14	8,84	2,90221590217839	17	4	7	5,17647058823529	0,727606875108999	18	1	9	3,88888888888889	2,42265991128586	17	3	8	5,64705882352941	1,27186754767292	20	3	9	5,9	1,83245593039563	19	1	8	2,84210526315789	2,47797313891676	18	1	8	2,77777777777778	2,48656520846482	15	1	3	1,4	0,632455532033676	16	4	18	13,375	4,44034533191583	21	4	7	5,47619047619048	0,872871560943969	20	1	9	3,35	2,36809939336213	19	2	8	4,73684210526316	1,28418176556808	19	1	9	5,31578947368421	2,26206964179432	23	1	9	3,69565217391304	2,60130705972446	13	1	6	3,07692307692308	1,89127551586835	15	1	9	3,66666666666667	2,71679082392303	21	4	18	12,2857142857143	3,67617813962894	 	11,54	57,11	26,71	44,37	28,21	50,11	68,64	71,08	78,32	0,2	0	0,2	4170
gland	gruczoł	7	41,75	45,4642857142857	32	28	43	24	N	7	50	1	8	4,52	1,26555626230572	50	1	8	3,92	2,06861878398834	50	1	8	4,66	1,23899234897409	50	1	9	5,9	1,79852547314488	50	1	8	2,74	1,94632044260603	50	1	9	2,6	1,96914982172717	50	1	9	5,6	2,50713268211204	50	3	18	11,16	3,74906791137232	25	1	8	4,44	1,38684293751431	25	1	7	4,36	1,62992842378635	25	3	8	4,96	1,24096736459909	25	3	9	6,12	1,92180470738661	25	1	8	2,56	1,78138522878498	25	1	9	2,12	1,7156145643277	25	1	9	5,76	2,65015722804013	25	3	16	11,52	3,78725934328946	25	2	8	4,6	1,15470053837925	25	1	8	3,48	2,38257563713446	25	1	6	4,36	1,18602979164381	25	1	9	5,68	1,67630546142402	25	1	8	2,92	2,11974841274462	25	1	8	3,08	2,11974841274462	25	1	9	5,44	2,39930545505708	25	3	18	10,8	3,75277674973257	 	23,61	24,44	26,83	52,83	32,5	32,5	48,06	79,67	65	0	0,2	0	939
shard	czerep	6	35,3333333333333	39,7586206896552	30	29	52	110	N	6	44	1	7	4,52272727272727	1,26653962494842	48	1	7	3,33333333333333	1,77851639502589	42	1	8	4,80952380952381	1,51799121495731	45	1	9	5,91111111111111	1,70323518664044	48	1	7	2,79166666666667	1,77402455466867	45	1	9	2,28888888888889	1,86623371602495	47	1	9	5,46808510638298	2,59473600759715	48	4	18	12,2916666666667	3,68988458179255	21	1	7	4,14285714285714	1,38873014965883	24	1	7	3,41666666666667	1,90916933147164	20	1	7	4,65	1,38696943388321	21	4	9	6,28571428571429	1,38357714432037	24	1	7	2,625	1,83711730708738	21	1	9	2,38095238095238	2,45919073022388	22	1	9	5,13636363636364	2,86681264100302	23	4	18	12,304347826087	3,99357191005627	23	2	7	4,8695652173913	1,05762804194046	24	1	6	3,25	1,67461871065833	22	1	8	4,95454545454545	1,6468519095903	24	1	9	5,58333333333334	1,90916933147164	24	1	6	2,95833333333333	1,73152776639507	24	1	5	2,20833333333333	1,17876747224514	25	1	9	5,76	2,35017729827631	25	5	18	12,28	3,47035060668707	 	21,43	33,61	22,74	36,61	22,63	27,87	55,04	59,35	50,49	0	0	0,2	469
dump	składowisko	11	40,6451612903226	30,5555555555556	31	27	37	37	N	11	49	1	8	4,53061224489796	1,25999406110251	50	1	8	3,62	2,01919361556609	50	1	8	4,6	1,16057691494799	49	1	9	6,61224489795918	1,84635143064428	50	1	8	3,12	2,10577437402152	50	1	8	2,9	1,83225076262581	50	1	9	5,9	2,24290263830108	50	4	16	10,6	2,9485382057929	25	1	8	4,44	1,38684293751431	25	1	7	3,88	1,7156145643277	25	2	8	4,56	1,19303534454489	24	3	9	6,75	1,82375627662299	25	1	8	3,24	2,22261107708929	25	1	6	2,52	1,44683562761405	25	1	9	5,76	2,50466231922256	25	4	16	11,12	3,00444115713167	24	3	8	4,625	1,134920031659	25	1	8	3,36	2,28910462845192	25	1	6	4,64	1,15036226178249	25	1	9	6,48	1,89560896108172	25	1	8	3	2,02072594216369	25	1	8	3,28	2,11187120819429	25	1	9	6,04	1,98913716637809	25	4	16	10,08	2,85657137141714	 	15,91	41,45	17,86	46,82	30,23	29,14	57,36	64,68	59,36	0	0	0,2	3387
blow	kuksaniec	9	44,9677419354839	28,4814814814815	31	27	13	13	N	9	47	2	8	4,53191489361702	1,31630351709672	50	1	9	4,1	2,00254939555374	50	2	8	4,7	1,51522881682832	47	1	9	4,5531914893617	1,76694911024253	47	1	7	2,85106382978723	1,89941322065361	47	1	9	3,02127659574468	1,9279338084223	49	1	9	6,48979591836735	2,30147098775609	50	4	18	10,38	3,62468858620141	23	2	8	4,47826086956522	1,44189159904592	25	1	7	4,04	1,56737572606783	25	2	8	4,8	1,52752523165195	23	2	9	4,91304347826087	1,85651294533745	24	1	7	3,16666666666667	1,65940446799621	25	1	9	2,76	2,00582485111072	25	1	9	6,76	2,48797106092495	25	4	18	10,4	3,81881307912987	24	2	8	4,58333333333333	1,2128538629009	25	1	9	4,16	2,39234891546642	25	2	8	4,6	1,52752523165195	24	1	8	4,20833333333333	1,64129235046964	23	1	7	2,52173913043478	2,1077684282282	22	1	7	3,31818181818182	1,83579134711161	24	1	9	6,20833333333333	2,10546218548155	25	4	18	10,36	3,49857113690718	 	23,16	54,64	37,56	44,44	31,8	52,92	77,8	82	84,72	0,2	0,1	0,2	1432
container	kosz	4	35,8214285714286	31,6333333333333	28	30	655	890	N	4	50	1	7	4,54	1,07304639761222	50	1	9	3,28	1,88484828599665	50	1	6	4,18	1,24030937549419	50	1	9	5,94	1,88885020635328	50	1	8	3,28	2,31269786798264	50	1	7	1,66	1,39401051148205	50	1	9	7,92	1,65171524946224	50	3	16	6,78	3,32148233443431	25	1	7	4,76	1,23423390543824	25	1	9	3,52	2,12367605815953	25	1	6	4,28	1,24230967690561	25	2	9	6	1,68325082306035	25	1	8	3,16	2,37486841740758	25	1	3	1,12	0,439696865275764	25	3	9	8,08	1,44106442141449	25	3	12	5,64	2,3783747952471	25	3	6	4,32	0,852447456836295	25	1	6	3,04	1,61967074843418	25	1	6	4,08	1,25565388012249	25	1	9	5,88	2,10792156716832	25	1	8	3,4	2,29128784747792	25	1	7	2,2	1,77951304200522	25	1	9	7,76	1,85472369909914	25	3	16	7,92	3,76297754444536	 	20,04	30,74	17,65	40,22	22,29	16,57	50,78	57,87	38,86	0	0	0,2	1344
mole	kret	4	48,7	41,2142857142857	30	28	200	180	N	4	50	1	7	4,54	1,09189967394408	50	1	8	2,98	2,06516293768402	50	1	8	4,14	1,44292786248188	50	1	9	5,64	1,93527933964298	50	1	5	2,26	1,39693542135224	50	1	8	1,76	1,53277126640019	50	1	9	7,96	1,52476160732872	50	4	14	7,36	2,65545261140706	25	1	6	4,44	1,22746350930146	25	1	8	2,92	2,15870331449229	25	1	7	4,16	1,43410831761993	25	3	9	5,8	1,5545631755148	25	1	5	2,24	1,58850034099251	25	1	5	1,16	0,8	25	4	9	8,04	1,42828568570857	25	4	14	7,28	2,85073090043004	25	2	7	4,64	0,952190457139047	25	1	8	3,04	2,00997512422418	25	2	8	4,12	1,48099065943487	25	1	9	5,48	2,27522892621087	25	1	5	2,28	1,20830459735946	25	1	8	2,36	1,84571575998762	25	1	9	7,88	1,64113781667882	25	4	13	7,44	2,50133297796728	 	29,09	34,5	62,26	43,6	29,33	35,4	63,59	105,86	64,73	0	0,1	0,2	1376
deed	ustawa	6	34,0714285714286	64,8928571428571	28	28	354	186	N	6	50	2	8	4,54	1,05385589380046	50	1	9	3,68	2,13273801217389	50	2	9	6,06	1,70724745644884	50	1	9	7,4	1,72614942479922	50	1	9	3,56	1,94998691780018	50	1	9	4,28	2,74820906432253	50	1	9	5,3	2,44323305378387	50	3	17	10,18	3,36664309279818	25	3	6	4,4	0,816496580927726	25	1	8	3,56	1,98074060223274	25	4	9	6,64	1,41067359796659	25	1	9	7,32	1,99415813481947	25	1	9	4	2,06155281280883	25	1	8	3,4	2,46644143115812	25	1	9	5,16	2,64070697604511	25	3	16	10,28	3,50618501128125	25	2	8	4,68	1,24899959967968	25	1	9	3,8	2,3094010767585	25	2	9	5,48	1,80554700852678	25	5	9	7,48	1,44683562761405	25	1	7	3,12	1,76351920885484	25	1	9	5,16	2,77908857961263	25	1	9	5,44	2,27449628123093	25	6	17	10,08	3,29039004780082	 	21,33	39,11	10,11	76,83	74	39,22	60,44	86,94	113,22	1	0,2	0,2	4111
pile	stos	4	43,8518518518518	50,6428571428571	27	28	536	2518	N	4	50	2	8	4,56	1,24801883816237	50	1	9	3,76	2,13388598283861	50	2	8	4,88	1,66157043983414	50	1	9	5,96	1,67770494353179	50	1	8	3,82	2,44690558436069	50	1	8	2,24	1,49229312653721	50	1	9	7,1	1,76415557646121	50	3	17	9,82	3,55533516890677	25	2	8	4,56	1,4456832294801	25	1	9	4,04	2,03059925473574	25	2	8	4,84	1,65025250593154	25	4	9	6,4	1,5	25	1	8	3,56	2,27449628123093	25	1	4	1,8	1	25	3	9	7,2	1,75594229214212	25	3	17	9,56	3,11019827878117	25	2	6	4,56	1,04403065089106	25	1	8	3,48	2,23830292855994	25	2	8	4,92	1,7058722109232	25	1	9	5,52	1,75878746110306	25	1	8	4,08	2,62868788561898	25	1	8	2,68	1,77294481959629	25	1	9	7	1,80277563773199	25	4	17	10,08	3,99916657984302	 	20,32	58,16	33	59,53	23,68	44,05	78,47	92,53	67,74	0,2	0,2	0,2	3557
