ENGLISHword	POLISHword	NumberoflettersinPolish	Ciepło_M	Kompetencja_M	Ciepło_N	Kompetencja_N	subtlex_plfrequency	Kazojć2011frequency	partofspeach	NumberofLetters	Valence_N	Valence_MIN	Valence_MAX	Valence_M	Valence_SD	arousal_N	arousal_MIN	arousal_MAX	arousal_M	arousal_SD	dominance_N	dominance_MIN	dominance_MAX	dominance_M	dominance_SD	origin_N	origin_MIN	origin_MAX	origin_M	origin_SD	significance_N	significance_MIN	significance_MAX	significance_M	significance_SD	concretness_N	concretness_MIN	concretness_MAX	concretness_M	concretness_SD	imegability_N	imegability_MIN	imegability_MAX	imegability_M	imegability_SD	ageOfAquisition_N	ageOfAquisition_MIN	ageOfAquisition_MAX	ageOfAquisition_M	ageOfAquisition_SD	Valence_N_Female	Valence_MIN_Female	Valence_MAX_Female	Valence_M_Female	Valence_SD_Female	arousal_N_Female	arousal_MIN_Female	arousal_MAX_Female	arousal_M_Female	arousal_SD_Female	dominance_N_Female	dominance_MIN_Female	dominance_MAX_Female	dominance_M_Female	dominance_SD_Female	origin_N_Female	origin_MIN_Female	origin_MAX_Female	origin_M_Female	origin_SD_Female	significance_N_Female	significance_MIN_Female	significance_MAX_Female	significance_M_Female	significance_SD_Female	concretness_N_Female	concretness_MIN_Female	concretness_MAX_Female	concretness_M_Female	concretness_SD_Female	imegability_N_Female	imegability_MIN_Female	imegability_MAX_Female	imegability_M_Female	imegability_SD_Female	ageOfAquisition_N_Female	ageOfAquisition_MIN_Female	ageOfAquisition_MAX_Female	ageOfAquisition_M_Female	ageOfAquisition_SD_Female	Valence_N_Male	Valence_MIN_Male	Valence_MAX_Male	Valence_M_Male	Valence_SD_Male	arousal_N_Male	arousal_MIN_Male	arousal_MAX_Male	arousal_M_Male	arousal_SD_Male	dominance_N_Male	dominance_MIN_Male	dominance_MAX_Male	dominance_M_Male	dominance_SD_Male	origin_N_Male	origin_MIN_Male	origin_MAX_Male	origin_M_Male	origin_SD_Male	significance_N_Male	significance_MIN_Male	significance_MAX_Male	significance_M_Male	significance_SD_Male	concretness_N_Male	concretness_MIN_Male	concretness_MAX_Male	concretness_M_Male	concretness_SD_Male	imegability_N_Male	imegability_MIN_Male	imegability_MAX_Male	imegability_M_Male	imegability_SD_Male	ageOfAquisition_N_Male	ageOfAquisition_MIN_Male	ageOfAquisition_MAX_Male	ageOfAquisition_M_Male	ageOfAquisition_SD_Male	Ady	POSITIVITYmean	NEGEATIVITYmean	AUTOMATICITYmean	REFLECTIVENESSmean	SUBJECTIVESIGNIFICANCEmean	AROUSALmean	ambiVALmean	ambiORImean	ambiACTmean	CategoryambiACT	CategoryambiORI	CategoryambiVAL	V1
FALSE	Fałsz	5	48,8333333333333	20,9642857142857	30	28	236	427	N	5	50	1	7	2,68	1,26877733206712	49	1	9	5,14285714285714	2,28217732293819	50	1	8	4,04	1,7374623766298	50	1	9	5,56	2,01180191340388	50	1	9	4,38	2,12746855416939	50	2	9	6,76	1,67283213352051	50	1	9	4,56	2,3832750575626	50	4	13	8,56	2,46742036655818	25	1	5	2,52	1,29486163997034	24	1	9	5,79166666666667	2,08470969028151	25	1	8	4,12	1,98578280114753	25	3	9	5,84	1,62480768092719	25	1	9	4,96	2,35372045918796	25	2	9	6,72	1,98997487421324	25	1	9	4,6	2,34520787991171	25	4	13	8,4	2,70801280154532	25	1	7	2,84	1,24766448481419	25	1	9	4,52	2,32952069462082	25	2	7	3,96	1,48548533034381	25	1	9	5,28	2,33666428910958	25	1	7	3,8	1,73205080756888	25	4	9	6,8	1,3228756555323	25	1	9	4,52	2,46846781087648	25	5	13	8,72	2,24573670169353	 	6,1	64	18,2	65,28	73,67	76,56	70,1	83,48	150,22	2	0,2	0,2	 
truth	Prawda	6	75,2058823529412	80,7037037037037	34	27	109391	43707	N	6	50	5	9	7,16	1,25128505374047	50	1	9	3,56	2,26021490760756	50	3	9	6,94	1,44857424626381	50	1	9	6,08	2,63291566480189	50	2	9	5,66	2,43788131501975	50	1	9	6,62	2,38951792593555	50	1	9	4,08	2,48948810409051	50	3	16	7,8	3,38664845460849	25	5	9	7,36	1,31909059582729	25	1	9	4,16	2,62488094968134	25	3	9	6,68	1,49220195237329	25	1	9	6,52	2,25684145064143	25	2	9	6,36	2,39582971014219	25	3	9	7,16	1,86368809979925	25	1	9	3,92	2,61278905896872	25	3	16	7,12	3,15330514434194	25	5	9	6,96	1,17189305541646	25	1	7	2,96	1,67032930884901	25	4	9	7,2	1,38443731048635	25	1	9	5,64	2,94222138301431	25	2	9	4,96	2,31804515342849	25	1	9	6,08	2,75257455242663	25	1	9	4,24	2,40277617212535	25	3	16	8,48	3,53694783676548	 	68,79	21,58	66,21	51	80,52	54,18	90,36	117,21	134,7	1	1	0,1	 
deficient	niedobór	8	20,6071428571429	31,2857142857143	28	28	26	14	N	10	50	1	5	3,5	0,952976004580452	50	1	8	3,88	1,92343230625221	50	1	9	3,56	1,57997675002269	50	1	9	5,66	1,98576567251084	50	1	8	3,14	1,9273541131694	49	1	9	5,77551020408163	1,97130779478211	50	1	9	3,68	2,41964746968459	49	4	17	11,3877551020408	2,70659939261592	25	1	5	3,36	1,18602979164381	25	1	8	5,32	1,95192212959431	25	1	9	3,52	1,75878746110306	25	2	8	5,36	1,99749843554382	25	1	8	4,48	2,27522892621087	25	3	9	5,6	1,68325082306035	25	1	9	5,12	2,35088635766739	25	4	15	9,72	3,11608729017658	25	2	6	3,72	0,737111479583199	25	1	8	3,52	2,18174242292714	25	1	9	3,68	1,57374288454838	25	1	8	4,64	2,0387904911164	25	1	8	3,2	2,04124145231932	25	2	9	5,64	2,0591260281974	25	1	8	5	1,95789002074512	25	4	15	9,44	3,0967725134404	 	6,12	75	13,24	54,59	37,62	64	81,12	67,82	101,62	1	0,2	0,2	26
rape	gwałt	5	19,0769230769231	7,42857142857143	26	28	886	1012	N	5	50	1	6	1,44	0,884330716602409	50	2	9	7,14	2,02040610183362	50	1	9	3,66	2,87572528562228	50	1	9	4,32	2,43645778346604	50	1	9	5,22	2,65952274374366	50	1	8	3,74	2,16474535430373	50	1	9	7,22	2,06318556942354	50	4	17	12,1	2,81577190634672	25	1	3	1,28	0,541602560309064	25	4	9	7,6	1,68325082306035	25	1	9	3,16	2,98161030317512	25	1	9	4,76	2,40277617212535	25	1	9	6,04	2,89367125522809	25	1	7	2,72	1,86010752377383	25	1	9	7,64	2,07926268983343	25	4	17	12,68	2,91147156377435	25	1	6	1,6	1,11803398874989	25	2	9	6,68	2,2494443758404	25	1	9	4,16	2,73373980717502	25	1	9	3,88	2,43789526709687	25	1	8	4,4	2,16024689946929	25	1	8	4,76	1,98494332412792	25	1	9	6,8	2	25	7	17	11,52	2,64764045897475	 	2,3	96,2	35,47	45,89	66,26	93,11	98,5	81,37	159,37	2	0,1	0,2	966
suicide	samobójstwo	11	13,3103448275862	25,3103448275862	29	29	3907	1789	N	11	50	1	7	1,54	1,12866184086307	50	1	9	6,76	2,66159381436256	50	1	9	2,98	2,55941638755752	50	1	9	4,52	2,6437450246009	50	1	9	5,12	2,81134726944	50	1	8	4,22	2,17865339424262	50	1	9	7,3	1,83225076262581	50	4	17	10,94	3,29755629990155	25	1	5	1,48	0,918331820930394	25	1	9	6,92	2,67581763205193	25	1	9	2,72	2,60640237364328	25	1	9	4,24	2,66583320308429	25	1	9	5,72	2,65392790658174	25	1	8	4,12	1,92180470738661	25	2	9	7,44	1,91659420152867	25	4	17	11,24	3,13953287395859	25	1	7	1,6	1,3228756555323	25	1	9	6,6	2,69258240356725	25	1	9	3,24	2,5377155080899	25	1	9	4,8	2,64575131106459	25	1	9	4,52	2,88848287745199	25	1	8	4,32	2,44472220644119	25	1	9	7,16	1,77200451466694	25	5	17	10,64	3,48664117262827	 	15,68	84,4	47,68	57,52	60,56	77	100,08	105,2	137,56	2	1	0,2	3277
death	śmierć	6	16,6785714285714	28,6296296296296	28	27	20524	22744	N	6	50	1	6	1,56	1,10951359079701	50	1	9	6,52	2,57333262838805	50	1	9	3,28	2,54782820681234	50	1	9	4,36	2,64775607730356	50	1	9	5,28	3,27039908942038	50	1	9	5,42	2,80007288534876	50	1	9	7	2,07019667802706	50	3	14	7,38	2,39804342014442	25	1	6	1,44	1,04403065089105	25	1	9	6,92	2,39652526240249	25	1	8	2,44	2,08326666559997	25	1	9	4,12	2,69752973415803	25	1	9	6,24	3,2310988842807	25	1	9	4,6	2,84312035153866	25	2	9	7,72	1,81475434517549	25	3	14	7,32	2,42761886080442	25	1	5	1,68	1,18039541397505	25	1	9	6,12	2,72824730061872	25	1	9	4,12	2,72824730061872	25	1	9	4,6	2,62995563967658	25	1	9	4,32	3,0784195079077	25	1	9	6,24	2,55408170059874	25	1	9	6,28	2,09204843793509	25	5	13	7,44	2,41660919471891	 	9,47	91,89	46,16	40,58	72,37	70,68	101,37	86,74	143,05	2	0,1	0,2	3763
pedophile	pedofil	7	0,678571428571428	7	28	28	117	7	N	7	50	1	8	1,6	1,4142135623731	50	1	9	6,84	2,35051014870893	50	1	9	3,62	2,69459019639919	50	1	9	5,26	2,43117507491706	50	1	8	4,12	2,52044699631325	50	1	8	3,2	2,02030508910442	50	1	9	6,06	2,23524641384619	50	4	18	11,86	3,17522295537282	25	1	8	1,68	1,70098010962308	25	2	9	7,2	1,91485421551268	25	1	9	4,08	3,01275068113289	25	1	9	5,48	2,50199920063936	25	1	8	4,96	2,4576411454889	25	1	7	2,32	1,70098010962308	25	2	9	6,56	2,29274217186902	25	4	16	12,08	2,9	25	1	6	1,52	1,0847426730182	25	1	9	6,48	2,70985854489369	25	1	9	3,16	2,30362033908947	25	1	9	5,04	2,38886304895586	25	1	8	3,28	2,33666428910958	25	1	8	4,08	1,95618676681616	25	1	9	5,56	2,10317220724631	25	4	18	11,64	3,47467024814346	 	7,61	84,17	37,44	37,67	54,56	79,22	91,78	75,11	133,78	1	0,1	0,2	2452
tumor	nowotwór	8	14,6071428571429	33,8214285714286	28	28	310	108	N	8	50	1	5	1,68	0,957036241396813	50	1	9	6,74	2,32826465989814	50	1	8	3,64	2,24753833591967	50	1	9	5,26	2,45622906596469	50	1	9	5,28	2,68054213219061	50	1	9	3,46	2,57309469832158	50	1	9	5,92	2,44815632420708	50	4	16	10,62	3,10949828619293	25	1	5	1,8	1,08012344973464	25	1	9	7,2	2,29128784747792	25	1	8	3	2,32737334062816	25	2	9	5,64	2,15793110795193	25	1	9	6,52	2,55147016443461	25	1	9	2,68	2,49532896962839	25	2	9	6,2	2,53311402559511	25	4	15	11,24	2,83254891102225	25	1	4	1,56	0,820568908339411	25	1	9	6,28	2,31876403859182	25	1	8	4,28	2,01080415091409	25	1	9	4,88	2,71293199325011	25	1	8	4,04	2,22635726393287	25	1	9	4,24	2,45424801789333	25	1	9	5,64	2,3783747952471	25	5	16	10	3,30403793359983	 	5,06	95,58	37,36	55,79	71,21	82,39	100,64	93,15	153,61	2	1	0,2	2103
death bed	łoże śmierci	12	10,75	26,0666666666667	28	30	10293	13363	N	12	50	1	6	1,68	0,998774759597059	50	1	9	5,26	2,84863017563723	50	1	8	3,02	1,87888373286711	50	1	9	5,06	2,35094423062526	50	1	9	4,18	2,79715599004651	50	1	9	5	2,63415555922654	49	1	9	5,91836734693877	2,24385025025696	50	4	17	11,32	3,48430885015455	25	1	4	1,76	0,830662386291807	25	1	9	5,44	2,59935889531759	25	1	5	2,52	1,38804418757713	25	1	9	5,8	2,34520787991171	25	1	9	4,76	3,05886689260364	25	1	9	4,6	2,64575131106459	25	1	9	6,04	2,65329983228432	25	4	16	10,96	3,37243729865113	25	1	6	1,6	1,15470053837925	25	1	9	5,08	3,12143129562919	25	1	8	3,52	2,18174242292714	25	1	9	4,32	2,1548395145192	25	1	8	3,6	2,43241991988774	25	1	9	5,4	2,61406452355969	24	2	9	5,79166666666667	1,76879144853366	25	6	17	11,68	3,62537354397217	 	14,32	71,82	40,86	35,91	47,14	42,27	86,14	76,77	89,41	1	0,1	0,2	1595
murderer	morderca	8	8,56666666666667	34,7307692307692	30	26	3030	1757	N	8	50	1	5	1,78	0,974993458900089	50	1	9	6,92	2,28428526757791	50	1	9	5,76	2,56793413355672	50	1	9	5,22	2,64413096714754	50	1	9	4,6	2,64960528442734	50	1	9	3,36	2,09722849182886	50	1	9	6,7	2,11167792844207	50	3	15	9,46	3,10503212379452	25	1	3	1,6	0,816496580927726	25	1	9	6,84	2,30362033908947	25	1	9	5,64	2,91376045686669	25	1	9	5,32	2,64133804475434	25	1	9	4,96	2,65329983228432	25	1	5	2,36	1,49666295470958	25	2	9	6,72	2,3895606290697	25	3	15	9,44	3,58329457343378	25	1	5	1,96	1,09848380355227	25	1	9	7	2,3094010767585	25	1	9	5,88	2,22336081942031	25	1	9	5,12	2,69752973415803	25	1	9	4,24	2,65015722804013	25	1	9	4,36	2,15793110795193	25	1	9	6,68	1,84210025061975	25	6	13	9,48	2,61597655443112	 	8,76	85,92	31,64	55,48	53,96	81,27	94,68	87,12	135,23	1	0,2	0,2	1793
funeral	pogrzeb	7	10,6666666666667	36,8571428571429	30	28	2944	1806	N	7	50	1	7	1,8	1,19522860933439	50	1	9	5,84	2,75058435349914	50	1	7	3,04	1,67770494353179	50	1	9	4,52	2,39250530462381	50	1	9	4,38	2,76191297207318	50	1	9	3,38	2,4651861708891	50	1	9	7,88	1,63682120998886	50	3	15	8,82	3,14084351077599	25	1	7	1,92	1,35154232884755	25	2	9	6,64	2,41315837303177	25	1	7	2,6	1,70782512765993	25	1	9	5,32	2,30434372436058	25	1	9	5,68	2,8095076674274	25	1	9	2,6	2	25	4	9	8,12	1,48099065943487	25	3	15	8,36	2,41315837303177	25	1	5	1,68	1,0295630140987	25	1	9	5,04	2,87923600977759	25	1	7	3,48	1,55777619273972	25	1	8	3,72	2,24573670169353	25	1	8	3,08	2,03960780543711	25	1	9	4,16	2,67207784317748	25	1	9	7,64	1,77670106283152	25	4	14	9,28	3,72513981840503	 	4,35	82,35	62,7	35,78	54,17	74,48	86,7	98,48	128,65	1	0,1	0,2	2682
murder	zabójstwo	9	11,0689655172414	28,1071428571429	29	28	2457	794	N	9	50	1	7	1,82	1,18992368131193	50	1	9	6,92	2,3546740317756	50	1	9	5,3	2,77929663690625	50	1	9	5,18	2,52085181586523	50	1	9	4,92	2,87735706395112	50	1	9	3,84	2,18865348596635	50	1	9	7,16	1,97287731447224	50	3	16	9,38	3,35571398163351	25	1	8	3,24	1,85472369909914	25	1	9	6,76	2,25979350089044	25	1	9	6,2	2,66145323711188	24	1	9	5,29166666666667	2,33087344454665	25	1	9	5,72	2,26421435969889	25	3	8	5,64	1,55134350376268	25	1	9	5,2	2,3629078131263	25	4	15	10,2	3,29140294302192	25	1	5	2,88	1,05356537528527	25	1	9	6,48	2,41729876790879	25	1	8	5,32	1,95192212959431	25	1	9	5,28	2,44131112314674	25	1	9	4,56	1,93821223468088	25	2	9	6,04	2,13072757526625	25	1	9	5,52	2,14320632075713	25	4	16	9,88	3,75632799419859	 	6	90,42	55,58	49,53	48,89	85,95	96,42	105,11	134,84	1	1	0,2	4517
abortion	poronienie	10	16,3103448275862	28,6296296296296	29	27	51	40	N	10	50	1	6	1,86	1,22906966641357	50	1	9	6,38	2,52247044439715	50	1	8	3,08	1,75940620781036	50	1	9	4,22	2,50134657612206	50	1	9	5,24	2,85399826952452	50	1	9	3,12	1,97577161367091	50	1	9	5,8	2,41593350361254	50	5	18	12,14	3,26396528592985	25	1	6	1,68	1,10754984838908	25	1	9	6,8	2,10158670215308	25	1	8	3,36	1,89032625050104	25	1	9	4,56	2,58327956933301	25	1	9	5,92	2,79761803444764	25	1	9	2,8	2,12132034355964	25	1	9	5,68	2,59358182185692	25	5	17	11,96	3,34763598180368	25	1	6	2,04	1,33790881602597	25	1	9	5,96	2,86472802664872	25	1	8	2,8	1,60727512683216	25	1	9	3,88	2,42074368738204	25	1	9	4,56	2,8	25	1	7	3,44	1,80462369115189	25	1	9	5,92	2,27156333832011	25	5	18	12,32	3,23676793525064	 	3,58	91,46	41,08	27,08	66,58	84,54	95,04	68,15	151,12	2	0,1	0,2	2760
agony	agonia	6	33,8620689655172	30,5172413793103	29	29	87	143	N	6	49	1	6	1,87755102040816	1,20126067565885	49	1	9	5,59183673469388	2,70738471089521	50	1	8	2,78	1,83269624057127	48	1	9	4,72916666666667	2,49031813171794	50	1	9	4,34	2,69246871014354	49	1	9	5,40816326530612	2,48259245671182	46	1	9	5,8695652173913	2,49094980235941	50	4	18	13,08	3,48079277857027	24	1	6	1,91666666666667	1,2128538629009	24	1	9	5,45833333333333	2,79719061958938	25	1	7	2,44	1,66032125405497	23	1	9	5,39130434782609	2,44464406099952	25	1	9	5,2	2,61406452355969	25	1	9	5,12	2,57099202643649	21	2	9	6,23809523809524	2,46788901502401	25	5	18	12,76	3,65467736834138	25	1	5	1,84	1,21380943040221	25	1	9	5,72	2,66958174002346	25	1	8	3,12	1,96468827043885	25	1	9	4,12	2,42074368738204	25	1	8	3,48	2,53508711224421	24	1	9	5,70833333333333	2,40432882556635	25	1	8	5,56	2,51793566240283	25	4	18	13,4	3,34165627596057	 	10,18	95,62	53,24	34,91	48,62	69,9	105,8	88,15	118,52	1	0,1	0,2	8
torture	tortura	7	20,1666666666667	30,1851851851852	30	27	168	105	N	7	50	1	4	1,88	0,895339406628137	50	1	9	6,64	2,23843968980582	50	1	9	4,16	2,80931395503585	50	1	9	5,14	2,39906444350326	50	1	9	3,94	2,69852567457242	50	1	9	4,54	2,26066632763395	50	1	9	6,86	1,94841641612163	50	4	17	9,72	3,05754336495354	25	1	4	1,72	0,842614977317636	25	1	9	7,08	2,01907569612104	25	1	9	4,04	3,06159000085468	25	1	9	5,52	2,27522892621087	25	1	9	4,32	2,89712501168544	25	1	9	4	2,16024689946929	25	2	9	7,16	2,01411684533611	25	4	14	9,36	2,69072480941474	25	1	4	2,04	0,934523051258412	25	1	9	6,2	2,39791576165636	25	1	9	4,28	2,59036676939772	25	1	9	4,76	2,50466231922256	25	1	9	3,56	2,48461935381123	25	1	9	5,08	2,27156333832011	25	1	9	6,56	1,87260958735842	25	5	17	10,08	3,40245009760124	 	9,58	81	36,34	54,1	45,21	80,75	90,58	90,44	125,96	1	1	0,2	3899
incest	kazirodztwo	11	13,1428571428571	11,8620689655172	28	29	80	57	N	11	50	1	7	1,94	1,23569364144605	50	1	9	6,46	2,13053600614244	50	1	8	3,3	1,80983706561713	50	1	9	4,52	2,60486201600948	50	1	9	4,2	2,49079939630896	50	1	9	5,02	2,16172644534173	50	1	9	5,34	2,47938438705569	50	5	18	12,8	3,26390275965596	25	1	5	1,84	1,06770782520313	25	3	9	6,88	1,66633329999333	25	1	8	3,32	1,84210025061975	25	1	9	4,64	2,56385126973725	25	1	9	5	2,69258240356725	25	2	9	4,8	2,12132034355964	25	1	9	5,28	2,55799400572662	25	5	18	13,08	3,29039004780082	25	1	7	2,04	1,39880901722382	25	1	9	6,04	2,47453699372899	25	1	8	3,28	1,81475434517549	25	1	9	4,4	2,69258240356725	25	1	8	3,4	2,02072594216369	25	1	9	5,24	2,22261107708929	25	1	9	5,4	2,44948974278318	25	5	18	12,52	3,28024389337134	 	10,68	83,87	39,71	28,74	43,84	73,94	94,55	68,45	117,78	1	0,1	0,2	1172
corpse	trup	4	6,53571428571429	20,6428571428571	28	28	974	1309	N	4	50	1	7	2,02	1,33232955413303	50	1	9	5,86	2,09965983639527	50	1	8	3,22	2,23415052568724	50	1	9	5,86	2,16663003632039	50	1	9	4,28	2,53175747621437	50	1	8	2,42	1,70341793258766	50	1	9	7,76	1,8245491475531	50	3	15	8,76	2,66925044894324	25	1	7	2	1,44337567297406	25	1	9	6,08	2,13931453196267	25	1	7	2,36	1,75309250564063	25	2	9	6,36	1,89032625050104	25	1	9	4,6	2,79880927062444	25	1	6	1,6	1,3228756555323	25	3	9	7,96	1,71949605020386	25	3	14	9	2,67706306736817	25	1	5	2,04	1,24096736459909	25	2	9	5,64	2,07926268983343	25	1	8	4,08	2,36149670054113	25	1	9	5,36	2,343074902772	25	1	8	3,96	2,24499443206436	25	1	8	3,24	1,66533279957291	25	1	9	7,56	1,93821223468088	25	5	15	8,52	2,6944387170615	 	11,06	77,56	34,11	39,28	60,11	63,22	88,61	73,39	123,33	2	0	0,2	3942
betrayal	zdrada	6	19,375	14,5897435897436	40	39	943	749	N	6	50	1	6	2,02	1,18648855959121	50	1	9	7,18	1,81479183041888	50	1	9	4,14	2,1477087933946	50	1	9	3,8	2,2314999074019	50	1	9	5,12	2,73779294397543	50	1	9	5,74	2,38027609442986	50	1	9	5,98	2,22683082208867	50	3	17	9,82	3,62356234686705	25	2	9	6,92	1,46969384566991	25	1	9	4,68	2,28619042659763	25	3	9	6,96	1,64519502390041	25	2	9	6,4	1,84842275106824	25	2	9	6,2	2,04124145231931	25	3	9	6,8	1,47196014438797	25	1	9	4,84	2,65643871878624	25	3	15	8,56	3,30504664616603	25	2	9	6,68	1,40593978059754	25	1	8	3,96	1,9035055380359	25	5	9	6,64	1,15036226178249	25	1	9	6,6	2,46644143115812	25	1	8	5,36	1,93390796058137	25	1	9	5,84	2,05507501890645	25	1	8	4,88	1,94336477961979	25	4	13	7,76	2,50466231922256	 	4,48	86,73	48,82	41,77	66,32	86,55	91,21	90,59	152,86	2	0,1	0,2	4699
kelpie	topielec	8	10,9259259259259	19	27	30	26	86	N	8	50	1	5	2,04	1,27711409363583	50	1	9	5	2,56347977784662	50	1	8	2,78	1,40393034305954	50	1	9	5,1	2,07265973264956	50	1	9	3,5	2,11167792844207	50	1	8	2,66	1,80260582355157	50	1	9	7,08	1,97783637712878	50	4	18	11,04	3,21958293661062	25	1	5	1,8	1,08012344973464	25	1	9	4,92	2,56450125105578	25	1	5	2,48	1,26227308191743	25	2	9	5,6	1,82574185835055	25	1	9	3,44	2,45085019262024	25	1	8	2,32	1,93045763140937	25	3	9	6,96	2,13072757526625	25	4	18	11,32	3,56744539785358	25	1	5	2,28	1,42945210949277	25	1	9	5,08	2,61278905896872	25	1	8	3,08	1,49777612924406	25	1	9	4,6	2,21735578260835	25	1	7	3,56	1,75783958312469	25	1	6	3	1,63299316185545	25	1	9	7,2	1,84842275106824	25	7	18	10,76	2,87634026730728	 	16,5	68,44	30,72	40,89	47,94	63,72	84,94	71,61	111,67	1	0	0,2	3892
tragedy	tragedia	8	17,4642857142857	18,5172413793103	28	29	1420	858	N	8	50	1	7	2,04	1,34500463726511	50	1	9	6,67	2,37422365435788	50	1	9	3,19	2,03124157819099	50	1	9	3,9	2,24282880669585	50	1	9	4,97	2,5786754406048	50	1	9	5,93	2,23172747175709	50	1	9	5,96	2,11838027539901	50	3	16	9,22	2,90690693202003	25	1	7	2,1	1,46878052712348	25	1	9	7,18	2,08792027205682	25	1	8	2,96	1,97666995192198	25	1	9	4,14	2,33370059503171	25	1	9	5,86	2,73282522432199	25	1	9	6,1	2,39855105487811	25	2	9	6,2	2,32414789818466	25	3	16	9,26	3,02463757597137	25	1	7	1,98	1,22441056378892	25	1	9	6,16	2,54130161779904	25	1	9	3,42	2,07916022943438	25	1	8	3,66	2,16435353283691	25	1	9	4,08	2,10830615635756	25	1	9	5,76	2,08366199580777	25	1	8	5,72	1,90260535825094	25	4	14	9,18	2,83668738935068	 	6,4	86,68	54,68	32,48	74,92	79,92	93,08	87,16	154,84	2	0,1	0,2	3907
terrorist	terrorysta	10	24,7096774193548	29,2857142857143	31	28	434	275	N	10	50	1	5	2,04	1,12413231845177	50	1	9	5,98	2,5029778183563	50	1	9	5,44	2,50028569796105	50	1	9	4,86	2,45789025178016	50	1	9	3,64	2,27461591285659	50	1	9	3,06	1,92099039082257	50	1	9	7	1,87355386408629	50	3	17	9,76	3,18516971642784	25	1	5	1,8	1	25	2	9	6,88	1,94336477961979	25	1	9	5,92	2,67581763205193	25	1	9	5,68	2,35796522451032	25	1	9	4,16	2,37486841740758	25	1	7	2,64	1,9122412679018	25	2	9	7,12	2,02731349327133	25	3	15	10,04	3,18171861316071	25	1	4	2,28	1,20830459735946	25	1	9	5,08	2,70678160675491	25	1	9	4,96	2,26347814951533	25	1	9	4,04	2,31804515342849	25	1	8	3,12	2,08806130178211	25	1	9	3,48	1,87349939951952	25	1	9	6,88	1,73973178009332	25	4	17	9,48	3,22903494354995	 	6,13	83,87	23,78	39,13	54,25	78,96	90	62,91	133,21	1	0	0,2	3861
coffin	trumna	6	10,2068965517241	36,7241379310345	29	29	428	518	N	6	50	1	5	2,06	1,20220885142681	50	1	9	5,74	2,40586019238569	50	1	8	3,66	2,12478090106981	50	1	9	5,3	2,12132034355964	50	1	9	4,68	2,80989505214726	50	1	9	2,22	2,0029569977146	50	1	9	8,12	1,56021976474012	50	3	14	8,66	2,79657224589865	25	1	5	2	1,29099444873581	25	1	9	6,28	2,3895606290697	25	1	8	3,24	2,22261107708929	25	2	9	5,48	2,02319878739914	25	1	9	4,68	2,79463772249642	25	1	5	1,56	1,3253930234714	25	5	9	8,44	1,12101144805335	25	3	13	8,24	2,45424801789333	25	1	5	2,12	1,12989675044522	25	1	9	5,2	2,34520787991171	25	1	7	4,08	1,97737199332852	25	1	9	5,12	2,2420228961067	25	1	9	4,68	2,88270706107991	25	1	9	2,88	2,35088635766739	25	1	9	7,8	1,87082869338697	25	4	14	9,08	3,0946189857019	 	6,05	75,85	27,55	48,83	58,72	60,22	81,9	76,38	118,94	2	0,2	0,2	3941
war	wojna	5	15,0740740740741	26,3333333333333	27	27	7677	7418	N	5	50	1	7	2,08	1,35285035448591	50	1	9	7,14	2,25886010624647	50	1	9	5,72	2,82871572503517	50	1	9	5,54	2,68943511252638	50	1	9	5,48	2,40102019133194	50	1	9	3,96	2,27640963280481	50	1	9	7,36	1,84899310712725	50	3	17	8,52	3,86633824549423	25	1	7	1,88	1,39403491108843	25	1	9	7,44	2,02237484161567	25	1	9	5,24	3,12623309005156	25	2	9	6,12	2,63502055652956	25	1	9	6,04	2,31804515342849	25	1	7	3,48	2,08406653764541	25	2	9	7,52	1,89560896108172	25	3	17	7,96	3,61109401705356	25	1	6	2,28	1,3076696830622	25	1	9	6,84	2,47790233867277	25	1	9	6,2	2,46644143115812	25	1	9	4,96	2,66895734947813	25	1	9	4,92	2,39652526240249	25	1	9	4,44	2,39930545505708	25	1	9	7,2	1,82574185835055	25	3	17	9,08	4,10203201677738	 	3,45	92,15	29,68	53,84	79,21	91,16	95,6	83,53	170,37	2	0,2	0,2	4305
bereavement	żałoba	6	13,5	31	36	40	107	233	N	6	50	1	6	2,08	1,13999641961486	50	1	9	5,34	2,38712533121719	50	1	8	3,54	1,56765781355759	50	1	9	4,44	2,35744586796986	50	1	9	4,98	2,64567417433339	50	1	9	5,8	2,44948974278318	50	1	9	6,84	1,87747116067962	50	4	16	9,78	3,29061745958203	25	1	4	1,88	1,01324561023804	25	1	9	5,72	2,20831761000692	25	1	6	3,44	1,66032125405497	25	1	9	4,84	2,49466096560902	25	1	9	5,6	2,79880927062444	25	1	9	5,84	2,71845544381364	25	4	9	7,4	1,5545631755148	25	4	16	9,92	3,30302891298275	25	1	6	2,28	1,24230967690561	25	1	9	4,96	2,54099717958652	25	1	8	3,64	1,49666295470958	25	1	8	4,04	2,18860686282393	25	1	9	4,36	2,3783747952471	25	1	9	5,76	2,20378462347541	25	1	9	6,28	2,03141986469235	25	5	16	9,64	3,34015967682185	 	8,09	86,22	62,17	29,91	70,57	78,26	94,3	92,09	148,83	2	0,1	0,2	4857
