,POLISHword,Ciepło_M,Kompetencja_M,Valence_M,arousal_M,dominance_M,origin_M,significance_M,concretness_M,imegability_M,ageOfAquisition_M,AUTOMATICITYmean,NumberofLetters,Kazojć2011frequency,cond_arousal,cond_origin
0,nuda,-0.5403696664786677,-1.4853045193918128,-1.5713453517137213,-1.5782749358732595,-1.5565347527446647,0.5941053031300004,0.6763845305977508,1.6100727714109382,-0.5721466315196939,-1.5375517371727785,-0.6178082487385527,-1.121646297052614,0.27218532968847453,-1.0,1.0
1,melancholia,-0.5499634211411887,-0.6195682633818443,-0.862955737548487,-1.2174596434354252,-1.4508355204019145,-1.1018221109231896,1.1817995851046317,2.2662958234826207,-1.2690525973663969,1.1061406561979013,1.2660803148383255,1.7562599058915074,-0.10083061060065901,-1.0,0.0
2,samotność,-1.797879329346598,-1.4048658201599054,-2.169541025897697,0.4964129956442878,-1.9793316821156677,-2.224127017281918,2.6520979254882873,1.7741285344288584,-0.6693893244285363,0.10220683593056007,0.3890873864493435,0.9340009907646155,0.893407501871005,-1.0,-1.0
3,oszczędności,0.9780901232097903,-0.6263966670708788,1.246471113521322,-0.04480994301246367,0.7265686658587485,1.7912305365793106,1.9628955784334492,0.5085555054334711,-0.5559395160348866,0.1579809370565176,0.4824736641481021,2.1673893634549533,0.4393623266212969,0.0,1.0
4,pieprz,0.2928884227852468,0.19083249783962708,0.20749967941231195,-0.18011567767665168,-0.05560565347760638,-0.30373862195698315,-0.5182328709639691,-0.9093550177928433,0.9675293395369748,-1.057894467489491,-1.2308053536329673,-0.2993873819257222,0.27894109964410585,0.0,0.0
5,rodzina,-0.7863667687907269,1.3856993682878198,1.9863447105383447,-0.022258987235099,1.297344520509602,-3.271611596550065,2.4912840445088253,0.23903532333260114,0.9513222240521675,-1.693719220325477,2.3041047092591413,0.11174207563772375,1.5736238887439786,0.0,-1.0
6,sukces,1.442659422264151,2.1587203269441124,2.065054667667815,2.3004894578334594,2.312057151000008,1.3173684650056243,2.0088424015704387,1.6217910401979323,-1.0745672115487122,-0.3551407933023484,0.9338406730254348,-0.2993873819257222,1.058267568843528,1.0,1.0
7,zwycięstwo,1.2748599761186912,2.071629930011924,2.049312676241921,2.8078859628241637,2.893402928885136,0.07036301349592611,2.399390398234847,1.5221857555084806,-0.15076162891471062,-0.756714321409287,2.2041335017226498,1.3451304483280615,1.1793481451577135,1.0,0.0
8,seks,1.6816100771861484,1.2785175491421163,1.9863447105383447,3.0446709984864926,1.170505441698301,-2.897509961097155,1.939922166864954,-0.10079447149023453,1.113393378900238,0.5930189258390351,2.6501128407327466,-1.121646297052614,0.5909803065202421,1.0,-1.0
9,składowisko,-0.509404996257571,-1.1811439313108612,-0.4453110670655815,-0.4056252354502978,-0.5841018151913595,1.3825181375742905,-0.6101265172379476,-0.37031465359110416,-0.5883537470045007,0.8495797910184676,-1.2164382339870046,1.7562599058915074,-1.1022668431696347,-1.0,1.0
10,spokój,1.8731543513102504,1.6366276375898616,1.577052933465098,-2.1645997860847404,0.5574498941103473,-0.9771215657722202,1.3426134660840947,1.867874684724813,-0.7180106708829571,-0.8905721641115995,1.1325858281279209,-0.2993873819257222,1.9481485544581998,-1.0,0.0
11,poezja,1.592866743827424,1.688822950559249,0.7584693793186048,-1.3527653780996134,0.93796713054425,-1.5008638554062934,0.9520654694196864,0.9069766441912781,-0.5235252850652724,0.5260900044878781,2.575882722561938,-0.2993873819257222,0.5738691506073174,-1.0,-1.0
12,postęp,1.2576777725579038,1.5598698243995794,1.1992451392436398,0.5866168187537465,1.529882831663653,2.3399129352435772,0.8142250000087186,1.4342987396060234,-1.3500881747904316,0.31414842020921663,0.9727516220665842,-0.2993873819257222,0.5856933391213881,0.0,1.0
13,szczypce,-0.4258420899201649,-0.14235485946907037,-0.37495400334576984,0.09049579165172383,0.3249115829562962,0.5691651940998058,-0.6790467519434316,-0.8859184802188547,0.8378724156585184,0.3699225213351801,-1.4451148883519134,0.5228715332011696,0.011541493123322507,0.0,0.0
14,łza,-0.9851457149801883,-0.6554537040454735,-1.1305695917886864,0.6317187303084758,-1.6622339850874155,-2.6481088707952156,1.0899059388306531,-0.8507636738578717,1.3240858802027293,-1.2586812315429599,1.0170502409749698,-1.5327757546160599,0.3820961052485084,0.0,-1.0
15,geniusz,0.8907141755730786,2.1364605611189336,1.6715048820204625,0.8797792438594867,2.354336843937108,2.4646134803945476,2.0318158131389326,1.1530602887181591,-0.5559395160348866,0.1579809370565176,2.1125431139796365,0.11174207563772375,0.5634362763789206,1.0,1.0
16,ekstaza,1.637306779792887,0.16823258019271933,1.734472847724039,3.221396856007064,1.2127851346354013,-2.872569852066961,1.1817995851046317,1.625378265336807,-0.4749039386108517,1.9092877124117782,2.8602319655549526,0.11174207563772375,-0.47929937316126703,1.0,0.0
17,orgazm,2.089491807816658,1.321501924528675,2.049312676241921,3.337833423592234,1.1493655952297515,-2.897509961097155,1.4804539354950625,0.6608929996643972,0.8054581846889044,1.8758232517361997,2.1095499640533943,-0.2993873819257222,-0.13370825345971946,1.0,-1.0
18,scenariusz,0.1547871799849814,0.8939609050588112,0.3649195936712524,-0.9919500856617787,0.49403035470469736,1.8411107546396985,-0.035791228025582336,-0.08907620270324018,-0.280418552793167,0.4145418022359511,-0.5597411401694529,1.3451304483280615,0.368555147645605,-1.0,1.0
19,mimoza,-0.46381812065428857,-0.03742667039414488,-0.6355714169522383,-1.4122178978762985,-1.2417859275462495,-0.4062701813033333,-1.3378248512453947,0.18630311379112674,-1.456027368691119,2.6171897651644116,-0.16763849983171664,-0.2993873819257222,-1.1022668431696347,-1.0,0.0
20,anioł,1.271182180038789,1.351297912012537,1.482600984909734,-1.1272558203259666,1.4241835993209029,-2.1991869082517237,0.1939428876593635,1.1999333638661365,1.2106360718090796,-1.3367649731193094,1.618074746164415,-0.710516839489168,0.9677776418546195,-1.0,-1.0
21,cesarz,1.707001015507,0.562762571114447,0.2704676451158884,0.22580152631591183,2.840553312713761,1.7164102094887281,-0.7020201635119262,-0.28828677208214376,0.4002802975687284,0.39223216178556514,-1.1912957746065695,-0.2993873819257222,1.2327972077966438,0.0,1.0
22,lasso,0.01791186921134814,0.053537998134664255,0.14902942554470844,-0.18011567767665168,0.5574498941103473,0.07036301349592611,-1.4831161568407432,-0.9093550177928433,0.5785585679016056,0.14682611683132513,-1.148194415668681,-0.710516839489168,-0.1553657376922167,0.0,0.0
23,zasmucenie,-1.1396131503360092,-1.1478667056328173,-1.6343133174172977,0.22580152631591183,-1.7045136780245158,-2.2740072353423058,1.1358527619676424,1.7741285344288584,-0.7504249018525712,-0.12088956857330088,0.2945038487800882,1.3451304483280615,-1.850829114251385,0.0,-1.0
24,stypendium,1.1167147446829633,-0.47036037851729756,1.5455689506133097,0.15814865898381833,1.2550648275725016,1.3921887920962068,1.6412678164745245,-0.21606397261944338,-0.5883537470045007,1.4073208022781047,0.5189900932482576,1.3451304483280615,0.08473401419827835,1.0,1.0
25,wojna,-1.8730610389369153,-1.4203802024017027,-2.37418691443432,3.5633429813658797,0.5997295870474476,0.045422904465732675,2.100736047844417,0.25075359211959547,0.594765683386413,-0.3105215124015774,-0.5088575914233344,-0.710516839489168,1.638765135533046,1.0,0.0
26,furia,-0.7571223580263562,-1.1786256547730654,-1.68153929169498,3.106340959183776,0.27012055231331705,-3.022210506248125,1.4574805239265674,1.912356276446874,-0.11040921893212755,1.2511533191254067,0.7255174381589733,-0.710516839489168,0.08612545924172738,1.0,-1.0
27,kopia,-0.43531520103505905,-1.0258502114799695,-0.028630191976100075,-1.104704864548602,-0.9011995122196113,1.4919492282169828,-0.31147216684751794,-0.24141369693416637,-0.36145413021720263,0.2249098584076746,-0.7764451948293923,-0.710516839489168,0.18915010930472148,-1.0,1.0
28,ślimak,-0.7243051006980139,-0.7488397923221574,-0.15456612338325226,-1.5782749358732595,-1.4296956739333644,0.2948239947676725,-0.6560733403749369,-0.9445098241538264,1.3240858802027293,-1.002120366363527,-1.127242366184985,-0.2993873819257222,-0.24967694187185285,-1.0,0.0
