,Valence_M,Valence_M,Valence_M,origin_M,origin_M,origin_M,Ciepło_M,Ciepło_M,Ciepło_M,Kompetencja_M,Kompetencja_M,Kompetencja_M,arousal_M,arousal_M,arousal_M,concretness_M,concretness_M,concretness_M,NumberofLetters,NumberofLetters,NumberofLetters,Kazojć2011frequency,Kazojć2011frequency,Kazojć2011frequency
cond_origin,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0
cond_val,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,1.2835330583978415,0.7967014829913953,0.770763879790452,0.8602059706015789,0.9968734938088483,0.9564495984211706,1.4575844473913253,1.1406678657357148,1.140115651885359,1.15343953797137,0.7440749009847056,1.2607540791086627,1.3418075346797491,1.2060405720522234,1.0029807536197142,1.1317827268971743,1.023839818041429,0.7579279595651826,0.502728807396828,0.8623924256718739,0.8771985275589967,0.9446161216969162,0.6904053598969908,0.8579513767440305
0.0,1.0785401505192056,0.7604880172354794,0.8277230555022835,1.392087721642554,0.4972949123178249,0.9761698430291637,0.9045504932075259,0.6852550148423396,0.9409271787543314,0.8751581220348046,0.7921950427714053,0.8063808601200215,0.635170673084438,0.5548690663486173,0.8794276863904184,0.9093974130627436,0.5179485545109052,0.8739542624617804,1.033096071091819,0.6677652735074937,0.817349862804065,0.9542036321836084,0.618996859321479,0.6289552353935748
1.0,0.7199217272471751,0.5265477348583405,0.6966725048865577,1.098360008280389,1.085075470232035,1.0805959758564037,1.0029264225388344,0.9958341501629041,0.8984583362281208,0.6540153030508634,1.0040634234352326,1.2985413084258142,1.0012490918853079,0.9993758061757918,0.9851684466665175,1.1402602248159275,1.078850753683421,1.100051132815777,0.7717645176524774,0.8716757117276338,1.0477945448267534,0.857344315029209,0.5824361234480327,1.0589742709272911
