,POLISHword,Ciepło_M,Kompetencja_M,Valence_M,arousal_M,dominance_M,origin_M,significance_M,concretness_M,imegability_M,ageOfAquisition_M,AUTOMATICITYmean,NumberofLetters,Kazojć2011frequency,cond_val,cond_origin
0,strach,1.4524362301765512,-0.7573089961546337,-2.0908310687682268,1.8945722538408962,-2.0216113750527676,-2.1742467992215304,1.779108285885492,1.5397631586889722,-0.4911110540956591,-1.1136685686154544,0.9829283318158079,-0.2993873819257222,1.8065481237173828,-1.0,-1.0
1,ekskrementy,2.0784584195769535,0.3256248638051078,-1.7307834700016211,1.8654210183238096,-1.5546129485202533,1.1732700572756098,-0.25567959589545763,0.3313524164594123,0.020355357831853008,2.202459269612343,-0.4867082819691416,1.7562599058915074,-0.9293581945839938,-1.0,0.0
2,gorączka,1.4940828924527592,-0.9683929824279055,-1.7287652659726624,1.5788588729577908,-1.4508355204019145,-0.3286787309871766,0.4236770033443093,0.051543022740691925,0.6433870298408338,-1.046739647264298,0.04906555482822281,0.5228715332011696,0.6524264025536147,-1.0,1.0
3,rodzina,-0.7863667687907269,1.3856993682878198,1.9863447105383447,-0.022258987235099,1.297344520509602,-3.271611596550065,2.4912840445088253,0.23903532333260114,0.9513222240521675,-1.693719220325477,2.3041047092591413,0.11174207563772375,1.5736238887439786,0.0,-1.0
4,wyciąg,-0.044304181140299034,0.3046392259901259,0.09730573943105282,0.06794483587435966,0.5785897405788979,0.4943448670092244,-1.0006745139023565,-0.4406242663130702,-0.4100754766716235,0.6711026674153836,-0.9656122701679032,-0.2993873819257222,-0.13370825345971946,0.0,0.0
5,oszczędności,0.9780901232097903,-0.6263966670708788,1.246471113521322,-0.04480994301246367,0.7265686658587485,1.7912305365793106,1.9628955784334492,0.5085555054334711,-0.5559395160348866,0.1579809370565176,0.4824736641481021,2.1673893634549533,0.4393623266212969,0.0,1.0
6,uczucie,-1.4847921082221616,0.5438754970809617,1.3881490363543691,0.8972677401766243,0.3249115829562962,-3.271611596550065,2.3074967519608682,2.254577554695626,-1.41491663672966,-0.1878184899244569,2.7842059574283997,0.11174207563772375,1.7377740605030856,1.0,-1.0
7,zombie,-1.5883042720838758,-1.1975127288065506,0.8056953535962875,0.0002919685422656653,0.9168272840756994,1.8411107546396985,1.1358527619676424,0.7312026123863633,-0.9611174031550624,-0.31052151240157144,-0.8213424437230262,-0.2993873819257222,-0.27689281505958896,1.0,0.0
8,stypendium,1.1167147446829633,-0.47036037851729756,1.5455689506133097,0.15814865898381833,1.2550648275725016,1.3921887920962068,1.6412678164745245,-0.21606397261944338,-0.5883537470045007,1.4073208022781047,0.5189900932482576,1.3451304483280615,0.08473401419827835,1.0,1.0
9,oparzenie,-0.4354875977263048,0.6886763980043656,-1.9491531459351796,1.9396741653956255,-1.3451362880591637,-0.7526605845004738,0.6993579421662449,-0.3000050408691381,0.594765683386413,-0.32167633262676393,-0.5519589503612229,0.9340009907646155,-0.9596408032928132,-1.0,-1.0
10,rutyna,-0.07073883479201519,0.8145902248942787,-1.2092795489181571,-1.6459278032053535,-1.0703182839680123,0.6938657392507752,0.10204924138538547,1.0944689447831877,-1.7066447154561868,1.1061406561979013,-0.6920383669093606,-0.2993873819257222,-0.45907485959182903,-1.0,0.0
11,zmęczenie,1.6750173245978695,-1.2731912806234917,-1.4296674288806746,-0.5409309701144859,-2.2330098397382687,-0.7526605845004738,1.1128793503991483,1.188215095079142,0.1085522188422015,-0.7790239618596724,0.042480624990489865,0.9340009907646155,0.9690498687158398,-1.0,1.0
12,łza,-0.9851457149801883,-0.6554537040454735,-1.1305695917886864,0.6317187303084758,-1.6622339850874155,-2.6481088707952156,1.0899059388306531,-0.8507636738578717,1.3240858802027293,-1.2586812315429599,1.0170502409749698,-1.5327757546160599,0.3820961052485084,0.0,-1.0
13,skinienie,0.09790393394918477,0.18292252666320571,0.20749967941231195,-0.089911854567193,-0.03446580700905577,0.1451833405865086,-0.12768487429956088,0.3562180112025443,-0.18317585988432472,0.5037803640374932,0.6261448606077306,0.9340009907646155,0.15863951006218346,0.0,0.0
14,postęp,1.2576777725579038,1.5598698243995794,1.1992451392436398,0.5866168187537465,1.529882831663653,2.3399129352435772,0.8142250000087186,1.4342987396060234,-1.3500881747904316,0.31414842020921663,0.9727516220665842,-0.2993873819257222,0.5856933391213881,0.0,1.0
15,bajka,-2.1080994513764844,0.6774340920320516,1.3409230620766865,-0.4958290585597565,0.13465296473934538,-1.076882001892996,0.2628631223648474,0.4734006990724877,0.2868304891750794,-2.296079512485885,1.7599500526682983,-0.710516839489168,0.21688905203029885,1.0,-1.0
16,wódka,-1.0711652788489747,-1.67372750581641,0.3964035765230406,2.007327032727719,-0.6475213545970094,-0.503259494198535,0.4007035917758152,-1.14372039353273,1.3078787647179226,0.4591610831367221,1.2858351043515244,-0.710516839489168,0.3042062348602975,1.0,0.0
17,sukces,1.442659422264151,2.1587203269441124,2.065054667667815,2.3004894578334594,2.312057151000008,1.3173684650056243,2.0088424015704387,1.6217910401979323,-1.0745672115487122,-0.3551407933023484,0.9338406730254348,-0.2993873819257222,1.058267568843528,1.0,1.0
18,poezja,1.592866743827424,1.688822950559249,0.7584693793186048,-1.3527653780996134,0.93796713054425,-1.5008638554062934,0.9520654694196864,0.9069766441912781,-0.5235252850652724,0.5260900044878781,2.575882722561938,-0.2993873819257222,0.5738691506073174,-1.0,-1.0
19,szatan,-0.7342674823869757,1.0557803312299585,-1.7287652659726624,2.1877346789466365,0.7054288193901989,-0.45337927613814705,0.3317833570703313,1.7038189217068929,0.1409664498118156,-0.3886052539779259,0.20530798097806874,-0.2993873819257222,0.6265555883760603,-1.0,0.0
20,wróg,0.6735403170549542,-0.7929096317336286,-1.7602492488244506,2.052428944282448,0.34605142942484685,-0.553139712258923,0.6534111190292556,0.7429208811733573,-0.7180106708829571,-0.5001534562298539,0.8560187749431358,-1.121646297052614,1.0825220554643664,-1.0,1.0
21,zasmucenie,-1.1396131503360092,-1.1478667056328173,-1.6343133174172977,0.22580152631591183,-1.7045136780245158,-2.2740072353423058,1.1358527619676424,1.7741285344288584,-0.7504249018525712,-0.12088956857330088,0.2945038487800882,1.3451304483280615,-1.850829114251385,0.0,-1.0
