,Valence_M,Valence_M,Valence_M,origin_M,origin_M,origin_M,Ciepło_M,Ciepło_M,Ciepło_M,Kompetencja_M,Kompetencja_M,Kompetencja_M,arousal_M,arousal_M,arousal_M,concretness_M,concretness_M,concretness_M,NumberofLetters,NumberofLetters,NumberofLetters,Kazojć2011frequency,Kazojć2011frequency,Kazojć2011frequency
cond_origin,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0
cond_val,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,-0.9789800447245212,-0.9780068218927779,-0.9551748934424239,-1.0022464163507854,0.043298376659456364,0.9119814138713025,0.031644985516558324,0.0011034266122287232,0.04738110000039037,7.449140130754705e-05,0.03750522785753525,0.0010922695681216362,0.09104248148875146,-0.01736041227181283,0.08486316630279718,0.12247109964863796,-0.0251116038122806,0.06285916801829115,0.002107553620804829,-0.05270970738765461,0.056924814629264284,0.030231227639713868,-0.007386263868203647,-0.05831592846280258
0.0,-0.011015511956666361,0.00810112135098644,-0.025287249805952396,-1.0107749475533265,0.0059259154709761985,1.027750434617138,-0.03741878285052598,0.012959435628714822,0.00048804902015647057,-0.007096565691670831,-0.033553499524489244,0.00017307978616240005,0.008174140673904843,-0.01850944339751277,0.023782547477020452,0.0376547041783284,0.032490871447551625,0.011328054858052402,0.02951618412503457,0.002107553620804836,-0.02530107688342488,-0.027793530389834373,0.021041185893821923,0.04799695169722757
1.0,0.952926701182358,0.9841045897564203,0.80837256302246,-1.024592603232412,-0.02824373050644558,0.7431012470097026,-0.07041203780501949,-0.009682090479338408,-0.03235179897571825,-0.051778384153904775,0.0017640187502050578,-0.14987896601927198,0.024335649520155166,0.07377433464674,0.2197879381086149,0.03566018061752918,-0.010954410789944583,0.14061333981101384,-0.02530107688342487,0.002107553620804836,0.002107553620804851,-0.005757146468499039,-0.02565218230756785,-0.09125033844913383
