,POLISHword,Ciepło_M,Kompetencja_M,Valence_M,arousal_M,dominance_M,origin_M,significance_M,concretness_M,imegability_M,ageOfAquisition_M,AUTOMATICITYmean,NumberofLetters,Kazojć2011frequency,cond_arousal,cond_origin
0,strach,1.4524362301765512,-0.7573089961546337,-2.0908310687682268,1.8945722538408962,-2.0216113750527676,-2.1742467992215304,1.779108285885492,1.5397631586889722,-0.4911110540956591,-1.1136685686154544,0.9829283318158079,-0.2993873819257222,1.8065481237173828,-1.0,-1.0
1,ekskrementy,2.0784584195769535,0.3256248638051078,-1.7307834700016211,1.8654210183238096,-1.5546129485202533,1.1732700572756098,-0.25567959589545763,0.3313524164594123,0.020355357831853008,2.202459269612343,-0.4867082819691416,1.7562599058915074,-0.9293581945839938,-1.0,0.0
2,gorączka,1.4940828924527592,-0.9683929824279055,-1.7287652659726624,1.5788588729577908,-1.4508355204019145,-0.3286787309871766,0.4236770033443093,0.051543022740691925,0.6433870298408338,-1.046739647264298,0.04906555482822281,0.5228715332011696,0.6524264025536147,-1.0,1.0
3,rodzina,-0.7863667687907269,1.3856993682878198,1.9863447105383447,-0.022258987235099,1.297344520509602,-3.271611596550065,2.4912840445088253,0.23903532333260114,0.9513222240521675,-1.693719220325477,2.3041047092591413,0.11174207563772375,1.5736238887439786,0.0,-1.0
4,tandem,0.4400002659812698,0.26838472755803083,0.3519153398846481,-0.7638183237279725,-0.07134809233716777,0.151418367844057,-0.8628340444913887,-0.2726624136994827,-0.1651679537900969,2.1100744764652473,-0.7291534259947647,-0.2993873819257222,-1.191578180117079,0.0,0.0
5,oszczędności,0.9780901232097903,-0.6263966670708788,1.246471113521322,-0.04480994301246367,0.7265686658587485,1.7912305365793106,1.9628955784334492,0.5085555054334711,-0.5559395160348866,0.1579809370565176,0.4824736641481021,2.1673893634549533,0.4393623266212969,0.0,1.0
6,uczucie,-1.4847921082221616,0.5438754970809617,1.3881490363543691,0.8972677401766243,0.3249115829562962,-3.271611596550065,2.3074967519608682,2.254577554695626,-1.41491663672966,-0.1878184899244569,2.7842059574283997,0.11174207563772375,1.7377740605030856,1.0,-1.0
7,zombie,-1.5883042720838758,-1.1975127288065506,0.8056953535962875,0.0002919685422656653,0.9168272840756994,1.8411107546396985,1.1358527619676424,0.7312026123863633,-0.9611174031550624,-0.31052151240157144,-0.8213424437230262,-0.2993873819257222,-0.27689281505958896,1.0,0.0
8,stypendium,1.1167147446829633,-0.47036037851729756,1.5455689506133097,0.15814865898381833,1.2550648275725016,1.3921887920962068,1.6412678164745245,-0.21606397261944338,-0.5883537470045007,1.4073208022781047,0.5189900932482576,1.3451304483280615,0.08473401419827835,1.0,1.0
9,oparzenie,-0.4354875977263048,0.6886763980043656,-1.9491531459351796,1.9396741653956255,-1.3451362880591637,-0.7526605845004738,0.6993579421662449,-0.3000050408691381,0.594765683386413,-0.32167633262676393,-0.5519589503612229,0.9340009907646155,-0.9596408032928132,-1.0,-1.0
10,szatan,-0.7342674823869757,1.0557803312299585,-1.7287652659726624,2.1877346789466365,0.7054288193901989,-0.45337927613814705,0.3317833570703313,1.7038189217068929,0.1409664498118156,-0.3886052539779259,0.20530798097806874,-0.2993873819257222,0.6265555883760603,-1.0,0.0
11,wymówka,2.2108590784533746,-1.6355579387117858,-0.8944397204002752,0.0002919685422656653,-0.9011995122196113,0.6190454121601938,0.4696238264812986,1.0944689447831877,-1.5121593296385023,0.16913575728171112,0.17717237167139155,0.11174207563772375,-0.20889489700998992,-1.0,1.0
12,rozpacz,-1.2797371809802223,-0.9981191900815947,-2.02786310306465,2.120081811614543,-2.528967690297971,-2.872569852066961,1.4345071123580733,1.867874684724813,-0.23179720633874623,0.4480062629115296,1.6055035164741978,0.11174207563772375,1.1338349879128473,0.0,-1.0
13,sperma,-0.300024845238717,-0.24720233455240578,-0.532373917604711,1.2856964478520507,0.0923732718022451,-0.05433753165504327,-0.5641796941009584,-0.9327915553668321,0.9351151085673608,1.0392117348467442,0.45254216488567955,-0.2993873819257222,-0.8562971344191761,0.0,0.0
14,cesarz,1.707001015507,0.562762571114447,0.2704676451158884,0.22580152631591183,2.840553312713761,1.7164102094887281,-0.7020201635119262,-0.28828677208214376,0.4002802975687284,0.39223216178556514,-1.1912957746065695,-0.2993873819257222,1.2327972077966438,0.0,1.0
15,bajka,-2.1080994513764844,0.6774340920320516,1.3409230620766865,-0.4958290585597565,0.13465296473934538,-1.076882001892996,0.2628631223648474,0.4734006990724877,0.2868304891750794,-2.296079512485885,1.7599500526682983,-0.710516839489168,0.21688905203029885,1.0,-1.0
16,entuzjazm,-0.8637784443434717,1.1813142457111527,1.8446667877052982,1.9622251211729898,1.4996830509942949,-2.847629743036767,2.6061511023512978,1.9264660286597852,-0.280418552793167,0.7938056898925041,2.4154498865153533,0.9340009907646155,0.53960285859613,1.0,0.0
17,galaretka,-0.5272601030325732,-0.4598375801272112,0.7742113707444993,-0.6311347932239445,-0.7109408940026595,-0.10421774971543124,-1.023647925470851,-0.9095941661354373,1.0809791479306239,-1.2363715910925743,0.8775694544120805,0.9340009907646155,-1.1303658166773813,1.0,1.0
18,aborcja,-0.7975781149052638,0.07844402982717226,-1.9648951373610737,2.661304750271294,-1.1337378233736624,-1.0270017838326082,1.2736932313786102,0.0163882163797089,-0.11834739794509652,2.1993130382667894,-0.26102477753047526,0.11174207563772375,-1.2080781187469432,-1.0,-1.0
19,wróg,0.6735403170549542,-0.7929096317336286,-1.7602492488244506,2.052428944282448,0.34605142942484685,-0.553139712258923,0.6534111190292556,0.7429208811733573,-0.7180106708829571,-0.5001534562298539,0.8560187749431358,-1.121646297052614,1.0825220554643664,-1.0,0.0
20,rutyna,-0.07073883479201519,0.8145902248942787,-1.2092795489181571,-1.6459278032053535,-1.0703182839680123,0.6938657392507752,0.10204924138538547,1.0944689447831877,-1.7066447154561868,1.1061406561979013,-0.6920383669093606,-0.2993873819257222,-0.45907485959182903,-1.0,1.0
21,serce,2.091330705856609,0.954669357309307,1.4511170020579458,0.789575420750028,0.8322678982014997,-3.545952795882198,2.0088424015704387,-0.4992156102480417,1.0323578014762032,-1.5933258382987425,2.6770511900689273,-0.710516839489168,2.1849224285964333,0.0,-1.0
