POLISHword,Ciepło_M,Kompetencja_M,Valence_M,arousal_M,dominance_M,origin_M,significance_M,concretness_M,imegability_M,ageOfAquisition_M,AUTOMATICITYmean,NumberofLetters,Kazojć2011frequency
Fałsz,-0.07274580415820019,-1.7245970020125123,-1.9019271716574973,1.3114689687404637,-1.1760175163107627,0.07036301349592611,0.8371984115772128,1.8913112222988018,-1.6742304844865727,-0.2882118719511914,-1.1960848144885572,-0.710516839489168,0.15621664127634158
Prawda,1.33365062816063,1.660311428838201,1.6242789077427806,-0.47327810278239185,1.889260221629006,0.7188058482809697,2.3074967519608682,1.8092833407898417,-2.0632012561219413,-0.7120950405085159,1.67793774468926,-0.2993873819257222,2.560454091098798
niedobór,-1.5779933080741535,-1.1397722453327483,-1.2565055231958393,-0.11246281034455767,-1.6833738315559656,0.1950635586468966,-0.587153105669453,1.3144854199675695,-2.387343565818082,1.2889431182556417,-1.4930052871717892,1.3451304483280615,-1.5853507831656002
gwałt,-1.6595969345557937,-2.491547115443757,-2.8779306400629316,3.5633429813658797,-1.5776745992132148,-1.4759237463760988,1.8020816974539864,0.12185263546265798,0.48131587499276335,1.6861913079079232,-0.16225082996448079,-0.710516839489168,0.6039670995412223
samobójstwo,-1.9671172683136324,-1.4783439813320582,-2.799220682933461,3.134874821595951,-2.296429379143919,-1.22652265607416,1.6872146396115135,0.40309108635052165,0.5461443369319915,1.0392117348467442,0.568676382023879,1.7562599058915074,0.899834507383132
śmierć,-1.7874963347684918,-1.290269247948791,-2.783478691507567,2.8642633522675753,-1.9793316821156677,-1.426043528315711,1.8710019321594706,1.1061872135701818,0.3030376046598861,-0.9463462652375634,0.4776846242661142,-0.2993873819257222,2.2209905425955743
pedofil,-2.6407450253054137,-2.515830496343955,-2.7519947086557788,3.22507864470541,-1.6199542921503152,-0.30373862195698315,0.538544061186783,-0.194540621786189,-0.458696823126045,1.5523334652056102,-0.04432072287053583,0.11174207563772375,-1.9120414776910832
nowotwór,-1.8979615670255003,-0.9960955750065775,-2.6890267429522026,3.112323865818587,-1.598814445681765,-0.30373862195698315,1.8710019321594706,-0.042203127555262815,-0.5721466315196939,0.8607346112436601,-0.049109762752523343,0.5228715332011696,-0.5546222254433552
morderca,-2.220088342009457,-0.9445712219426997,-2.6103167858227314,3.3152824678148685,0.6420092799845479,-0.3536188400173711,1.0899059388306531,-0.10079447149023453,0.05993087238778069,0.21375503818248212,-0.3915261143146378,0.5228715332011696,0.8904596527123774
pogrzeb,-2.1080994513764844,-0.824088293630176,-2.594574794396838,2.0975308558371775,-2.2330098397382687,-1.22652265607416,0.8371984115772128,-0.08907620270324018,1.0161506859913956,-0.14319920902368588,1.467818619867054,0.11174207563772375,0.9047469570954835
