photo,Theta,sigma,n
1.jpg,0.9648299724752861,0.7138502325504564,170
10.jpg,0.5589172001088347,0.3730676900190999,170
100.jpg,-0.48987230924657904,0.5468119695562849,170
1000.jpg,-0.27891584272098563,0.36924284567727483,170
1001.jpg,-0.6072305888565273,0.6469810488103387,170
1002.jpg,-0.27487720852820335,0.3671089488614234,170
1003.jpg,-0.5407041817067451,0.5900566284370828,170
1004.jpg,-0.7882544571180999,0.8019408259268964,170
101.jpg,0.6585296627222198,0.4636101051655356,170
102.jpg,3.062791385076567,2.4964776387193144,170
103.jpg,-0.5310777433241689,0.5818364534781328,170
104.jpg,-0.34994381312665207,0.4284719999886239,170
105.jpg,-0.44406660249222457,0.5082953312344286,170
106.jpg,-0.5322780936051987,0.5828683302817028,170
107.jpg,-0.07356820889762918,0.22037207888569352,170
108.jpg,-0.5429479244603281,0.5919822267677222,170
109.jpg,-0.536560255355444,0.5865004526102247,170
11.jpg,-0.22181173781256713,0.32497938320766784,170
110.jpg,-0.7604161598586889,0.7783405156554845,170
111.jpg,1.6548922445508532,1.3014357160212509,170
112.jpg,-0.5407412174648493,0.5900895866054132,170
113.jpg,-0.5378942005355417,0.5909603533390605,170
114.jpg,-0.8403666371139921,0.8465644736461806,170
115.jpg,-0.5072601036759032,0.5614374153512227,170
116.jpg,2.4916631634559865,2.011601475100092,170
117.jpg,-0.2549722787089121,0.3481195863388956,170
118.jpg,0.20424594683788685,0.15826089608886687,170
119.jpg,-0.47484620422135604,0.5341166243849836,170
12.jpg,-0.6790084827711764,0.7084295562226766,170
120.jpg,-0.61398370155029,0.6527925600753917,170
121.jpg,-0.600264052428583,0.641021099271132,170
122.jpg,-0.526709353892039,0.5780802764338555,170
123.jpg,3.2091884984327828,2.6243167441673036,170
124.jpg,-0.517463767974774,0.5701588973392685,170
125.jpg,2.855624297222924,2.3208387972728937,170
126.jpg,0.8732676822856308,0.6465941149454658,170
127.jpg,-0.7172738133168343,0.7412392645063042,170
128.jpg,-0.5092702173738208,0.5632164910314384,170
129.jpg,-0.7244489613195876,0.7473524176152762,170
13.jpg,0.3723695371305845,0.21573224735104743,170
130.jpg,0.7706092058594309,0.5481953645656931,170
131.jpg,-0.5323155621112331,0.5828768338091317,170
132.jpg,1.186303328693211,0.901255434381202,170
133.jpg,-0.5662577346770059,0.6119278879970049,170
134.jpg,0.10424535444667414,0.1107157085517577,170
135.jpg,-0.3311094328927369,0.4133400221443515,170
136.jpg,-0.6469041564010741,0.6809348474014452,170
137.jpg,-0.5670683736546009,0.6126433488834944,170
138.jpg,0.434547520728691,0.2843905611022136,170
139.jpg,-0.46920243548959883,0.5300338952448982,170
14.jpg,-0.5013539229078439,0.556390440017244,170
140.jpg,0.07311762119030887,0.1263695800934318,170
141.jpg,-0.42549493442553,0.49287648127710576,170
142.jpg,-0.5129344624839423,0.5662959006203566,170
143.jpg,0.1723518572933469,0.10885535451115591,170
144.jpg,0.6432008944837887,0.44740436874784617,170
145.jpg,-0.4664355235451501,0.5267337568203854,170
146.jpg,0.6112310190342178,0.42244481262301037,170
147.jpg,2.866731738327678,2.329412238412698,170
148.jpg,0.23591558650603456,0.1416590193311521,170
149.jpg,3.4411098284181665,2.819148920439919,170
15.jpg,-0.5764913237665741,0.6206732391165526,170
150.jpg,-0.2297630779874113,0.3313202716624401,170
151.jpg,1.0127286860845557,0.7550131443454492,170
152.jpg,-0.8274685824934941,0.8354960862146569,170
153.jpg,-0.41640070073055263,0.48521271423848056,170
154.jpg,0.8872844658113661,0.6547040404084851,170
155.jpg,-0.5163292521473106,0.5691985896961372,170
156.jpg,-0.4353838577858027,0.5002376273032353,170
157.jpg,-0.8029293187472951,0.8145234384876362,170
158.jpg,0.9993821232723287,0.7496894099897655,170
159.jpg,-0.4646778967825515,0.5250972239654221,170
16.jpg,3.50498533438998,2.874823747483222,170
160.jpg,1.7597796884746766,1.391428046376065,170
161.jpg,-0.5414723249379542,0.59071703905619,170
162.jpg,-0.32168939192500007,0.4051345922045634,170
163.jpg,2.3445119680661395,1.8873733472841712,170
164.jpg,-0.7907112427448186,0.8040480328240941,170
165.jpg,-0.2697964991954287,0.36387798972801,170
166.jpg,-0.5555556146996784,0.6027686185601223,170
167.jpg,1.2272961966819256,0.9369483759986225,170
