photo,Theta,sigma,n
1.jpg,-0.7475238125579979,0.9435130768475243,177
10.jpg,0.6484292655245667,0.34061616459727484,177
100.jpg,-0.6126501384510016,0.8261821207358926,177
1000.jpg,0.23424293701831594,0.16357481160657095,177
1001.jpg,-0.16549115647693663,0.45165644106233255,177
1002.jpg,0.30237911572887644,0.13774405284566127,177
1003.jpg,-0.49640262005202684,0.7232073027944401,177
1004.jpg,-0.7196653639290258,0.922666453897549,177
101.jpg,-0.06623630545918364,0.36595778749052904,177
102.jpg,-0.8217426908741344,1.0159698418325773,177
103.jpg,-0.42695148742248445,0.6687571633438821,177
104.jpg,0.5466565392461977,0.27121495100722615,177
105.jpg,-0.37988868145153526,0.6221873058197127,177
106.jpg,-1.0883262288095026,1.246800591966801,177
107.jpg,-0.011439572580819495,0.315402410751914,177
108.jpg,0.06698933179754503,0.2572088872915467,177
109.jpg,-0.8954381814878659,1.0761797286308032,177
11.jpg,-0.9827759488716471,1.1525713970146956,177
110.jpg,-0.40693855713476634,0.6526538877459092,177
111.jpg,-0.1866997767638102,0.4644643720090244,177
112.jpg,-0.9779244425939094,1.1482151817369106,177
113.jpg,-0.8488882424263477,1.0323583871816968,177
114.jpg,0.9174029357823139,0.587470101584887,177
115.jpg,-1.209954577260778,1.3525899416200058,177
116.jpg,1.12216368565787,0.7439639565972762,177
117.jpg,-0.7898068975656871,0.9798788625880268,177
118.jpg,0.6251176454735499,0.3314189894707356,177
119.jpg,0.8299995863201654,0.5019704087948769,177
12.jpg,-0.8922999657530313,1.0768800286902602,177
120.jpg,-0.12315689967057998,0.4320705504201521,177
121.jpg,0.6368433923064317,0.3461317050460007,177
122.jpg,-0.9773020134817945,1.1459497157717728,177
123.jpg,-1.063366376612404,1.2223979245823458,177
124.jpg,-1.1641206296830673,1.3117584852341024,177
125.jpg,0.5951348772631848,0.3142267716144704,177
126.jpg,3.243313853123187,2.613607039340551,177
127.jpg,0.34123546808550115,0.20290747804611908,177
128.jpg,-1.1274010896314925,1.2795202938497992,177
129.jpg,-0.5184618227141488,0.7458691047566087,177
13.jpg,1.8247775761649423,1.3593924512661824,177
130.jpg,1.4733111543084358,1.0499382835838664,177
131.jpg,-0.21290745217125673,0.479112769202131,177
132.jpg,0.4182093649604582,0.22270128449914636,177
133.jpg,0.22737694765449692,0.1773955114540676,177
134.jpg,0.11654716429566386,0.24197072034106545,177
135.jpg,2.3575808339555286,1.8282807558535574,177
136.jpg,-0.9304489087242518,1.1060424767954837,177
137.jpg,-1.119447711208509,1.2729540679075528,177
138.jpg,0.8323149115739478,0.4928858439062858,177
139.jpg,0.2186779029057303,0.19344245278184813,177
14.jpg,-0.9428235854908229,1.1152265396143572,177
140.jpg,-0.2867621146364019,0.5377373656924841,177
141.jpg,-0.37362821062849716,0.617794439909841,177
142.jpg,-1.0953623282020784,1.2511909105014547,177
143.jpg,-0.8120413713844302,0.9999755764924638,177
144.jpg,-0.35992071459460895,0.6091707848543613,177
145.jpg,-0.007701171496492584,0.3200511543191067,177
146.jpg,-0.5526149552652779,0.7842614498873561,177
147.jpg,1.3558393312112949,0.9561406257879562,177
148.jpg,-0.9676611531648429,1.1371543392693146,177
149.jpg,1.9220968646338972,1.4445421232417432,177
15.jpg,-0.8711461190792916,1.0524075792233765,177
150.jpg,-0.4111314373617109,0.6487836422374802,177
151.jpg,3.08115284781963,2.46872088477845,177
152.jpg,0.22777423917490128,0.19544251124032755,177
153.jpg,0.7348811816900375,0.42030815528229615,177
154.jpg,-1.0411060794492557,1.203714087711346,177
155.jpg,-1.0033994328133198,1.1693138795897042,177
156.jpg,0.4938050739933119,0.22573434778255302,177
157.jpg,1.587657185486453,1.1553766018675296,177
158.jpg,2.870824006092839,2.283492502955059,177
159.jpg,-1.223488753294885,1.3648520048241337,177
16.jpg,0.36018046191939374,0.15122289415125334,177
160.jpg,-0.7625229219663339,0.9606307006886835,177
161.jpg,-0.7764382131559191,0.9690414359767608,177
162.jpg,-1.1476878476033219,1.2973254013910718,177
163.jpg,0.7794535178911564,0.44807964201237743,177
164.jpg,0.5288999488460923,0.2748510295823167,177
165.jpg,3.3363745252671864,2.6947544076214713,177
