,features,rating,image,dim,level
181,"('17', 'flow', 'attractive', '1')",54.630303030303025,17,attractive,1
182,"('17', 'flow', 'attractive', '2')",57.43928571428571,17,attractive,2
183,"('17', 'flow', 'attractive', '3')",58.49269230769231,17,attractive,3
184,"('17', 'flow', 'attractive', '4')",67.95282051282051,17,attractive,4
186,"('17', 'flow', 'trustworthy', '1')",48.85545454545455,17,trustworthy,1
187,"('17', 'flow', 'trustworthy', '2')",45.35333333333333,17,trustworthy,2
188,"('17', 'flow', 'trustworthy', '3')",48.64846153846155,17,trustworthy,3
189,"('17', 'flow', 'trustworthy', '4')",49.02179487179487,17,trustworthy,4
201,"('18', 'flow', 'attractive', '1')",54.082857142857144,18,attractive,1
202,"('18', 'flow', 'attractive', '2')",56.29818181818182,18,attractive,2
203,"('18', 'flow', 'attractive', '3')",55.51571428571428,18,attractive,3
204,"('18', 'flow', 'attractive', '4')",57.1023076923077,18,attractive,4
206,"('18', 'flow', 'trustworthy', '1')",63.53928571428571,18,trustworthy,1
207,"('18', 'flow', 'trustworthy', '2')",58.60272727272728,18,trustworthy,2
208,"('18', 'flow', 'trustworthy', '3')",61.46523809523809,18,trustworthy,3
209,"('18', 'flow', 'trustworthy', '4')",59.88269230769231,18,trustworthy,4
221,"('19', 'flow', 'attractive', '1')",62.976486486486486,19,attractive,1
222,"('19', 'flow', 'attractive', '2')",73.86678571428571,19,attractive,2
223,"('19', 'flow', 'attractive', '3')",72.72848484848485,19,attractive,3
224,"('19', 'flow', 'attractive', '4')",74.06714285714285,19,attractive,4
226,"('19', 'flow', 'trustworthy', '1')",51.04081081081081,19,trustworthy,1
227,"('19', 'flow', 'trustworthy', '2')",54.021428571428565,19,trustworthy,2
228,"('19', 'flow', 'trustworthy', '3')",49.333333333333336,19,trustworthy,3
229,"('19', 'flow', 'trustworthy', '4')",54.491904761904756,19,trustworthy,4
241,"('2', 'flow', 'attractive', '1')",36.361666666666665,2,attractive,1
242,"('2', 'flow', 'attractive', '2')",40.7005,2,attractive,2
243,"('2', 'flow', 'attractive', '3')",52.71742857142857,2,attractive,3
244,"('2', 'flow', 'attractive', '4')",56.744864864864866,2,attractive,4
246,"('2', 'flow', 'trustworthy', '1')",42.67366666666667,2,trustworthy,1
247,"('2', 'flow', 'trustworthy', '2')",39.769999999999996,2,trustworthy,2
248,"('2', 'flow', 'trustworthy', '3')",53.28885714285714,2,trustworthy,3
249,"('2', 'flow', 'trustworthy', '4')",52.0545945945946,2,trustworthy,4
261,"('20', 'flow', 'attractive', '1')",53.998285714285714,20,attractive,1
262,"('20', 'flow', 'attractive', '2')",57.68810810810811,20,attractive,2
263,"('20', 'flow', 'attractive', '3')",66.19142857142857,20,attractive,3
264,"('20', 'flow', 'attractive', '4')",65.22969696969697,20,attractive,4
266,"('20', 'flow', 'trustworthy', '1')",45.033142857142856,20,trustworthy,1
267,"('20', 'flow', 'trustworthy', '2')",48.80162162162162,20,trustworthy,2
268,"('20', 'flow', 'trustworthy', '3')",57.986785714285716,20,trustworthy,3
269,"('20', 'flow', 'trustworthy', '4')",51.00333333333334,20,trustworthy,4
281,"('21', 'flow', 'attractive', '1')",43.6935,21,attractive,1
282,"('21', 'flow', 'attractive', '2')",64.27657142857143,21,attractive,2
283,"('21', 'flow', 'attractive', '3')",65.16378378378378,21,attractive,3
284,"('21', 'flow', 'attractive', '4')",66.40107142857143,21,attractive,4
286,"('21', 'flow', 'trustworthy', '1')",58.823249999999994,21,trustworthy,1
287,"('21', 'flow', 'trustworthy', '2')",63.02428571428571,21,trustworthy,2
288,"('21', 'flow', 'trustworthy', '3')",62.24351351351352,21,trustworthy,3
289,"('21', 'flow', 'trustworthy', '4')",63.35142857142857,21,trustworthy,4
301,"('22', 'flow', 'attractive', '1')",52.416000000000004,22,attractive,1
302,"('22', 'flow', 'attractive', '2')",60.226,22,attractive,2
303,"('22', 'flow', 'attractive', '3')",58.65428571428572,22,attractive,3
304,"('22', 'flow', 'attractive', '4')",65.16243243243242,22,attractive,4
306,"('22', 'flow', 'trustworthy', '1')",48.649,22,trustworthy,1
307,"('22', 'flow', 'trustworthy', '2')",57.83,22,trustworthy,2
308,"('22', 'flow', 'trustworthy', '3')",53.43457142857143,22,trustworthy,3
309,"('22', 'flow', 'trustworthy', '4')",62.56459459459459,22,trustworthy,4
321,"('23', 'flow', 'attractive', '1')",61.43206896551724,23,attractive,1
322,"('23', 'flow', 'attractive', '2')",50.32899999999999,23,attractive,2
323,"('23', 'flow', 'attractive', '3')",60.8375,23,attractive,3
324,"('23', 'flow', 'attractive', '4')",72.19057142857143,23,attractive,4
326,"('23', 'flow', 'trustworthy', '1')",59.55137931034483,23,trustworthy,1
327,"('23', 'flow', 'trustworthy', '2')",57.65566666666667,23,trustworthy,2
328,"('23', 'flow', 'trustworthy', '3')",62.53225,23,trustworthy,3
329,"('23', 'flow', 'trustworthy', '4')",61.47685714285714,23,trustworthy,4
341,"('24', 'flow', 'attractive', '1')",38.33692307692308,24,attractive,1
342,"('24', 'flow', 'attractive', '2')",42.79241379310345,24,attractive,2
343,"('24', 'flow', 'attractive', '3')",39.027,24,attractive,3
344,"('24', 'flow', 'attractive', '4')",43.79,24,attractive,4
346,"('24', 'flow', 'trustworthy', '1')",39.97820512820513,24,trustworthy,1
347,"('24', 'flow', 'trustworthy', '2')",44.64068965517241,24,trustworthy,2
348,"('24', 'flow', 'trustworthy', '3')",39.362,24,trustworthy,3
349,"('24', 'flow', 'trustworthy', '4')",38.3845,24,trustworthy,4
361,"('25', 'flow', 'attractive', '1')",25.59,25,attractive,1
362,"('25', 'flow', 'attractive', '2')",36.079487179487174,25,attractive,2
363,"('25', 'flow', 'attractive', '3')",35.43344827586207,25,attractive,3
364,"('25', 'flow', 'attractive', '4')",31.900666666666666,25,attractive,4
366,"('25', 'flow', 'trustworthy', '1')",51.63,25,trustworthy,1
367,"('25', 'flow', 'trustworthy', '2')",58.44461538461539,25,trustworthy,2
368,"('25', 'flow', 'trustworthy', '3')",57.99068965517242,25,trustworthy,3
369,"('25', 'flow', 'trustworthy', '4')",53.724666666666664,25,trustworthy,4
381,"('26', 'flow', 'attractive', '1')",57.07619047619047,26,attractive,1
382,"('26', 'flow', 'attractive', '2')",54.07653846153846,26,attractive,2
383,"('26', 'flow', 'attractive', '3')",61.84025641025641,26,attractive,3
384,"('26', 'flow', 'attractive', '4')",51.862758620689654,26,attractive,4
386,"('26', 'flow', 'trustworthy', '1')",69.18380952380951,26,trustworthy,1
387,"('26', 'flow', 'trustworthy', '2')",62.7173076923077,26,trustworthy,2
388,"('26', 'flow', 'trustworthy', '3')",64.34410256410257,26,trustworthy,3
389,"('26', 'flow', 'trustworthy', '4')",63.36413793103448,26,trustworthy,4
401,"('27', 'flow', 'attractive', '1')",39.18454545454545,27,attractive,1
402,"('27', 'flow', 'attractive', '2')",38.10214285714286,27,attractive,2
403,"('27', 'flow', 'attractive', '3')",48.07423076923077,27,attractive,3
404,"('27', 'flow', 'attractive', '4')",47.03307692307692,27,attractive,4
406,"('27', 'flow', 'trustworthy', '1')",38.406666666666666,27,trustworthy,1
407,"('27', 'flow', 'trustworthy', '2')",32.954047619047614,27,trustworthy,2
408,"('27', 'flow', 'trustworthy', '3')",40.11269230769231,27,trustworthy,3
409,"('27', 'flow', 'trustworthy', '4')",45.899743589743586,27,trustworthy,4
421,"('28', 'flow', 'attractive', '1')",64.22035714285714,28,attractive,1
422,"('28', 'flow', 'attractive', '2')",60.50545454545455,28,attractive,2
423,"('28', 'flow', 'attractive', '3')",70.67952380952381,28,attractive,3
424,"('28', 'flow', 'attractive', '4')",72.15461538461538,28,attractive,4
426,"('28', 'flow', 'trustworthy', '1')",63.845000000000006,28,trustworthy,1
