,features,rating,image,dim,level
151,"('15', 'vector', 'attractive', '1')",42.520857142857146,15,attractive,1
152,"('15', 'vector', 'attractive', '2')",51.949729729729725,15,attractive,2
153,"('15', 'vector', 'attractive', '3')",53.19285714285714,15,attractive,3
154,"('15', 'vector', 'attractive', '4')",48.834848484848486,15,attractive,4
155,"('15', 'vector', 'trustworthy', '0')",30.2935,15,trustworthy,0
156,"('15', 'vector', 'trustworthy', '1')",41.76542857142857,15,trustworthy,1
157,"('15', 'vector', 'trustworthy', '2')",45.22864864864865,15,trustworthy,2
158,"('15', 'vector', 'trustworthy', '3')",55.75214285714286,15,trustworthy,3
159,"('15', 'vector', 'trustworthy', '4')",45.09969696969697,15,trustworthy,4
170,"('16', 'vector', 'attractive', '0')",44.47666666666667,16,attractive,0
171,"('16', 'vector', 'attractive', '1')",45.836,16,attractive,1
172,"('16', 'vector', 'attractive', '2')",52.988,16,attractive,2
173,"('16', 'vector', 'attractive', '3')",54.314324324324325,16,attractive,3
174,"('16', 'vector', 'attractive', '4')",54.3725,16,attractive,4
175,"('16', 'vector', 'trustworthy', '0')",52.03666666666666,16,trustworthy,0
176,"('16', 'vector', 'trustworthy', '1')",57.178999999999995,16,trustworthy,1
177,"('16', 'vector', 'trustworthy', '2')",56.575714285714284,16,trustworthy,2
178,"('16', 'vector', 'trustworthy', '3')",64.29,16,trustworthy,3
179,"('16', 'vector', 'trustworthy', '4')",66.04357142857143,16,trustworthy,4
190,"('17', 'vector', 'attractive', '0')",44.183793103448274,17,attractive,0
191,"('17', 'vector', 'attractive', '1')",46.251333333333335,17,attractive,1
192,"('17', 'vector', 'attractive', '2')",58.7205,17,attractive,2
193,"('17', 'vector', 'attractive', '3')",64.52514285714285,17,attractive,3
194,"('17', 'vector', 'attractive', '4')",66.74135135135134,17,attractive,4
195,"('17', 'vector', 'trustworthy', '0')",42.43448275862069,17,trustworthy,0
196,"('17', 'vector', 'trustworthy', '1')",40.60466666666666,17,trustworthy,1
197,"('17', 'vector', 'trustworthy', '2')",44.9625,17,trustworthy,2
198,"('17', 'vector', 'trustworthy', '3')",47.00628571428572,17,trustworthy,3
199,"('17', 'vector', 'trustworthy', '4')",52.76243243243243,17,trustworthy,4
210,"('18', 'vector', 'attractive', '0')",39.20128205128205,18,attractive,0
