,id,name,dim,manip_type,wzrost,spadek,parabola,flatline,flatline_coeff,chaos,max_effect_n_times_better,max_effect_better_by,medium_effect_n_times_better,medium_effect_better_by
0,0,1,attractive,our,True,False,False,False,183.60625177052773,False,0.7871393678508378,-1.5175862068965529,0.0025005727592422883,-12.126526257729253
1,0,1,attractive,peterson,False,False,True,True,-0.4135455762762943,False,1.2704230544717199,1.5175862068965529,399.90837951182647,12.126526257729253
2,1,113,attractive,our,True,False,False,False,16.991356191559284,False,0.344914018690379,-10.064914004914002,0.028128617969748436,-10.176984347768652
3,1,113,attractive,peterson,True,False,False,False,0.46724098658433433,False,2.8992732849680887,10.064914004914002,35.55098231542953,10.176984347768652
4,2,115,attractive,our,True,False,False,False,0.8080561227446496,False,2.425987264050001,16.94051847766133,1.1598991226999127,2.1974222718959595
5,2,115,attractive,peterson,False,False,True,True,-0.13554257203202658,False,0.41220331813720085,-16.94051847766133,0.8621439403042971,-2.1974222718959595
6,3,117,attractive,our,False,False,False,False,-3.4217331698604885,True,0.15281929071143027,-27.354731471535985,-0.0976038552528187,-22.913262934370024
7,3,117,attractive,peterson,True,False,False,False,0.5467320432624763,False,6.5436764910020875,27.354731471535985,-10.245496936670655,22.913262934370024
8,4,15,attractive,our,False,False,False,False,-0.4891644284529906,True,-0.04301351299628938,-24.72850640113799,-0.10945726354976272,-20.234744471228787
9,4,15,attractive,peterson,True,False,False,False,0.2999325070295524,False,-23.248507976697148,24.72850640113799,-9.135985749775012,20.234744471228787
10,5,151,attractive,our,False,False,True,True,-0.2881981923143896,False,0.4387517103867433,-17.584156079854807,1.4381531488852624,5.8836527910756615
11,5,151,attractive,peterson,True,False,False,False,1.3331647190684377,False,2.2791933941830953,17.584156079854807,0.6953362378513842,-5.8836527910756615
12,6,153,attractive,our,True,False,False,False,3.415711579450267,False,0.738950274257205,-3.2951724137931038,0.19920368766129454,-8.491689552065488
13,6,153,attractive,peterson,True,False,False,False,0.19037242547798655,False,1.3532710316742258,3.2951724137931038,5.019987389491991,8.491689552065488
14,7,158,attractive,our,True,False,False,True,0.0964994986177983,False,0.9744425752847619,-0.4792105263157893,1.2582623482731317,3.420164279600378
15,7,158,attractive,peterson,True,False,False,False,0.41587002559689734,False,1.0262277381586795,0.4792105263157893,0.7947468199874399,-3.420164279600378
16,8,162,attractive,our,True,False,False,False,0.9400235122971645,False,1.2210452448310725,4.254028314028318,1.3589231046707935,3.1992670692437386
17,8,162,attractive,peterson,True,False,False,False,1.159086885293861,False,0.8189704715965268,-4.254028314028318,0.7358768105147903,-3.1992670692437386
18,9,163,attractive,our,True,False,False,False,0.2528894940174305,False,0.738681216027595,-4.789978354978352,0.6795062537460711,-5.097219217995722
19,9,163,attractive,peterson,True,False,False,False,0.15252185647264507,False,1.3537639489165554,4.789978354978352,1.4716568015188514,5.097219217995722
20,10,165,attractive,our,True,False,False,False,1.8908562134261346,False,1.1621777125474682,1.452055692055687,0.6208032930910593,-2.198612534531641
21,10,165,attractive,peterson,True,False,False,False,0.5442156890221669,False,0.8604536029244804,-1.452055692055687,1.6108161975444295,2.198612534531641
22,11,168,attractive,our,True,False,False,False,0.7964573944009153,False,0.7951804884176444,-5.222724765581901,1.3228403444235868,2.754577380076462
23,11,168,attractive,peterson,True,False,False,False,1.9885370088500713,False,1.2575761283956206,5.222724765581901,0.7559491243334728,-2.754577380076462
24,12,169,attractive,our,True,False,False,False,2.260217588845051,False,0.8638920786256863,-3.0433566058001986,0.4383606732706008,-7.591162230182199
25,12,169,attractive,peterson,True,False,False,False,0.6543167979133707,False,1.157551996067425,3.0433566058001986,2.2812265355352674,7.591162230182199
26,13,18,attractive,our,False,False,True,True,-0.10870044791389714,False,0.6040216908946556,-10.075344827586221,1.2042197138543682,2.924214990793949
27,13,18,attractive,peterson,True,False,False,False,0.7769568671977471,False,1.6555696841264678,10.075344827586221,0.8304132447718213,-2.924214990793949
28,14,20,attractive,our,False,False,True,True,-2.0478702323257445,False,-0.9546245130899537,-7.831978221415611,0.8022544112514767,-0.8997625220181575
29,14,20,attractive,peterson,False,False,True,True,-0.11938306132389909,False,-1.0475322876040274,7.831978221415611,1.2464873810292298,0.8997625220181575
30,15,26,attractive,our,True,False,False,False,1.7523084910025393,False,0.1885916088955718,-19.96839971550498,0.08816665089965108,-17.43974580104215
31,15,26,attractive,peterson,True,False,False,False,0.28670529572041886,False,5.302462850050378,19.96839971550498,11.342157037791685,17.43974580104215
32,16,28,attractive,our,False,True,False,False,0.299185821021976,False,0.22913383377110527,6.1681081081081075,-0.4541341887205531,-4.518676275378375
33,16,28,attractive,peterson,False,False,True,True,-3.5749348715408384,False,4.364261634966386,-6.1681081081081075,-2.201992329221749,4.518676275378375
34,17,29,attractive,our,False,True,False,False,1.4036801964853753,False,-0.7833869745768997,-12.82030303030303,-0.21159193941785287,-13.415585060040598
35,17,29,attractive,peterson,False,False,True,True,-0.3507686864600778,False,-1.2765083317093586,12.82030303030303,-4.726077953400648,13.415585060040598
36,18,32,attractive,our,False,True,False,False,1.0226200521662532,False,20.234062900470807,-12.87183456183456,-1.184601353495839,-12.346338457980927
37,18,32,attractive,peterson,False,False,True,True,-1.1184141051250869,False,0.04942161171085081,12.87183456183456,-0.8441658428372819,12.346338457980927
38,19,33,attractive,our,False,False,True,True,-0.49180609086093446,False,-12.276182228195959,4.3404743519029125,0.7297943209528878,-2.924097526357045
39,19,33,attractive,peterson,False,False,True,True,-1.0302111048808567,False,-0.08145854968682349,-4.3404743519029125,1.370249084282139,2.924097526357045
40,20,39,attractive,our,True,False,False,False,17.90174471554926,False,1.2828831300269647,5.179092373791633,0.09759115040830763,-11.4901240473745
41,20,39,attractive,peterson,True,False,False,False,0.43788858730711444,False,0.7794942318549166,-5.179092373791633,10.246830740452808,11.4901240473745
42,21,4,attractive,our,True,False,False,False,2.5207718807132435,False,1.4719754270974814,4.124482758620687,0.28739943963968745,-9.0588489856911
43,21,4,attractive,peterson,False,False,True,True,-0.3125782896991636,False,0.6793591670017567,-4.124482758620687,3.4794779045279265,9.0588489856911
44,22,41,attractive,our,False,False,True,True,-2.5693694262886284,False,-0.5938678505139137,-17.607531760435577,0.39458094253385734,-6.414026928500618
45,22,41,attractive,peterson,True,False,False,True,0.04272906316264333,False,-1.6838763019999028,17.607531760435577,2.5343342574488226,6.414026928500618
46,23,50,attractive,our,True,False,False,False,0.6735924304223077,False,2.065471488636505,12.43588929219601,1.1501851540845043,1.8808915819442262
47,23,50,attractive,peterson,False,False,True,True,-0.06803788962941935,False,0.4841509580266041,-12.43588929219601,0.8694252368401982,-1.8808915819442262
48,24,51,attractive,our,True,False,False,False,0.6647211884406272,False,1.1443596003968781,3.258890469416798,0.9564849994929561,-0.7060020021064801
49,24,51,attractive,peterson,True,False,False,False,0.3914165132440219,False,0.8738511912279912,-3.258890469416798,1.045494702509827,0.7060020021064801
50,25,52,attractive,our,True,False,False,False,0.8465980436132927,False,0.9158556692556483,-1.6384427284427403,0.8227894224748297,-2.0799936674230253
51,25,52,attractive,peterson,True,False,False,False,0.6589528119453317,False,1.0918750995042037,1.6384427284427403,1.2153778022475628,2.0799936674230253
