,id,name,dim,manip_type,wzrost,spadek,parabola,flatline,flatline_coeff,chaos,max_effect_n_times_better,max_effect_better_by,medium_effect_n_times_better,medium_effect_better_by
0,0,1,trust,our,True,False,False,False,0.40627824525188205,False,0.8955136666376707,-2.192579365079361,1.6905820597747543,5.4585316017316
1,0,1,trust,peterson,True,False,False,False,1.6548213176921547,False,1.1166775419013286,2.192579365079361,0.5915122511907145,-5.4585316017316
2,1,101,trust,our,True,False,False,False,1.3593084841964884,False,2.3589963708640544,6.6940666666666715,-3.5334592148076833,6.318935315779406
3,1,101,trust,peterson,False,False,False,False,-4.533926718591994,True,0.4239090879286599,-6.6940666666666715,-0.28300878521798,-6.318935315779406
4,2,102,trust,our,False,False,False,False,-26.337163071427998,True,4.335397211751555,6.058860215053755,-0.05487509296683838,-5.975029421196076
5,2,102,trust,peterson,False,False,True,True,-0.6792960111493855,False,0.2306593724075371,-6.058860215053755,-18.223203751186553,5.975029421196076
6,3,106,trust,our,True,False,False,False,0.4619316780024888,False,1.8319643900354898,4.103892473118286,1.1527771969471958,0.8192083052749695
7,3,106,trust,peterson,False,False,True,True,-0.08006863503314535,False,0.545862138718006,-4.103892473118286,0.867470316595624,-0.8192083052749695
8,4,109,trust,our,True,False,False,False,0.44939055636158637,False,0.8366728606502933,-3.3619047619047677,1.0221056896320015,0.2569836940836865
9,4,109,trust,peterson,True,False,False,False,0.7706207573228164,False,1.1952102751638947,3.3619047619047677,0.9783724033079587,-0.2569836940836865
10,5,154,trust,our,False,True,False,False,0.07456219379681552,False,0.4631630875483704,0.7537445887445884,0.1560775412533159,3.272249053614651
11,5,154,trust,peterson,False,False,False,False,-0.6378920737847857,True,2.1590667021701404,-0.7537445887445884,6.407071715571088,-3.272249053614651
12,6,155,trust,our,False,False,True,True,-0.9576374635683866,False,0.1931346345752602,-2.5026623376623363,1.1919405803921679,2.2771497354497328
13,6,155,trust,peterson,False,False,True,True,-0.7385573728284073,False,5.17773522185283,2.5026623376623363,0.8389679959306224,-2.2771497354497328
14,7,16,trust,our,False,False,False,False,-0.9983760647813966,True,0.0011560216341181015,5.760238095238101,20.58426570509044,-3.9058175627240104
15,7,16,trust,peterson,False,True,False,False,27.915993473675385,False,865.035714286501,-5.760238095238101,0.04858079536705078,3.9058175627240104
16,8,160,trust,our,True,False,False,False,0.6324218097252672,False,0.8910025228968109,-0.3679761904761918,0.28563417735739344,-4.608507680491556
17,8,160,trust,peterson,False,False,True,True,-0.4766844663860233,False,1.1223312777485954,0.3679761904761918,3.5009816025929283,4.608507680491556
18,9,161,trust,our,False,False,True,True,-0.10132649351429078,False,1.2094099230652475,1.514695767195768,2.871926731108675,6.3447605083088945
19,9,161,trust,peterson,True,False,False,False,1.1340361250502435,False,0.8268495081183902,-1.514695767195768,0.348198298086094,-6.3447605083088945
20,10,162,trust,our,False,False,False,False,-57.368842856429374,True,1.7720821575675718,1.4802428571428692,-0.022777821925950143,-2.7063458781362044
21,10,162,trust,peterson,False,False,True,True,-0.275451502475468,False,0.5643079220280839,-1.4802428571428692,-43.90235393230147,2.7063458781362044
22,11,163,trust,our,True,False,False,False,0.3387380444746692,False,1.0339495624255604,0.5463333333333296,1.2871423094018775,2.772668120012206
