,id,name,dim,manip_type,wzrost,spadek,parabola,flatline,flatline_coeff,chaos,max_effect_n_times_better,max_effect_better_by,medium_effect_n_times_better,medium_effect_better_by
0,0,13,smart,our,True,False,False,False,0.2928591443494993,False,2.1669410196974304,6.202916666666674,-1.5650966071903225,14.601769750491485
1,0,13,smart,peterson,False,False,False,False,-1.933781511357849,True,0.46148002687199574,-6.202916666666674,-0.6389381942340353,-14.601769750491485
2,1,14,smart,our,True,False,False,False,2.337556007491344,False,1.7480902676294798,7.6236881720430105,0.5809025643543378,-3.850863476030135
3,1,14,smart,peterson,True,False,False,False,0.10909309394936173,False,0.5720528387564693,-7.6236881720430105,1.721459090323488,3.850863476030135
4,2,15,smart,our,False,False,True,True,-0.008416779069040403,False,1.0062652892960409,0.10970779220780003,1.2092611549262922,3.07502169881095
5,2,15,smart,peterson,True,False,False,False,0.19161724418354423,False,0.9937737201484672,-0.10970779220780003,0.8269512304486062,-3.07502169881095
6,3,150,smart,our,True,False,False,False,0.9508749844177871,False,-20.046877571847393,6.874634408602148,-2.050242753509284,4.9935378868045674
7,3,150,smart,peterson,False,False,False,False,-0.8004792873368901,True,-0.049883080116393724,-6.874634408602148,-0.4877471208169651,-4.9935378868045674
8,4,155,smart,our,True,False,False,False,0.293905583827426,False,1.3775536433406363,6.1595238095238045,1.5365700109133735,6.065246400513061
9,4,155,smart,peterson,True,False,False,False,0.44326613099520074,False,0.7259245437258981,-6.1595238095238045,0.6508001541729793,-6.065246400513061
10,5,157,smart,our,False,False,True,True,-0.8734019261531845,False,-0.05446322146677471,6.48359307359307,0.8377995182682662,-0.5121209876543276
11,5,157,smart,peterson,False,False,True,True,-2.94743906853282,False,-18.3610145171095,-6.48359307359307,1.1936029780334592,0.5121209876543276
12,6,16,smart,our,True,False,False,True,0.015549772973841941,False,0.7136325609447655,-5.887599999999999,1.836171637065681,6.579157185767308
13,6,16,smart,peterson,True,False,False,False,1.6130025326960777,False,1.4012813522355507,5.887599999999999,0.5446113967853591,-6.579157185767308
14,7,162,smart,our,True,False,False,False,1.2963508918733704,False,0.8346427512756662,-0.9411243386243342,0.2537490999375434,-6.0836819287744675
15,7,162,smart,peterson,False,False,True,True,-0.3018606211303579,False,1.1981173963011147,0.9411243386243342,3.9409006780561397,6.0836819287744675
16,8,164,smart,our,True,False,False,True,0.028291691179792872,False,2.0912635014942045,7.327473544973557,1.2968930825409686,3.1261726946888118
17,8,164,smart,peterson,False,False,True,True,-0.36230686368667386,False,0.4781798177443931,-7.327473544973557,0.7710735861438371,-3.1261726946888118
18,9,169,smart,our,False,False,False,False,-3.6397188035431913,True,-11.945532963647398,4.0405000000000015,-0.3858340386242329,-5.073103544404624
19,9,169,smart,peterson,False,False,True,True,-1.0852614420723523,False,-0.08371330128535882,-4.0405000000000015,-2.59178791888268,5.073103544404624
20,10,170,smart,our,True,False,False,False,0.6264352830325544,False,0.7498344031651382,-2.975086021505362,0.7913440769125148,-1.4456590508257108
21,10,170,smart,peterson,True,False,False,False,0.7164722267696303,False,1.3336277927218112,2.975086021505362,1.2636728184048223,1.4456590508257108
22,11,173,smart,our,False,False,False,False,-1.6140988241480236,True,-0.6026052604053533,4.283505376344081,0.5082205785545074,2.5379643097643054
23,11,173,smart,peterson,False,False,False,False,-0.4820860682692794,True,-1.6594611194189242,-4.283505376344081,1.9676495643765999,-2.5379643097643054
24,12,20,smart,our,True,False,False,False,0.18363219285846172,False,1.182961021100713,2.9983809523809484,1.6477525540414673,6.438712618245951
25,12,20,smart,peterson,True,False,False,False,0.6486874326708594,False,0.8453363907709547,-2.9983809523809484,0.6068872401667866,-6.438712618245951
26,13,23,smart,our,False,False,False,False,-7.593840398464846,True,-1.2719882331564285,17.700194805194798,0.3097855806860884,3.3484163964271545
27,13,23,smart,peterson,False,True,False,False,0.6058927461309414,False,-0.7861707946138056,-17.700194805194798,3.2280392062964314,-3.3484163964271545
28,14,25,smart,our,True,False,False,False,0.4612505342819282,False,-68.57126255499364,18.14123376623376,-11.754841941107195,13.277389173351537
29,14,25,smart,peterson,False,False,False,False,-0.7495048446414871,True,-0.014583368640733537,-18.14123376623376,-0.08507132677836836,-13.277389173351537
30,15,33,smart,our,True,False,False,False,0.42059846951836793,False,6.294790702502085,11.16427248677249,0.9345152882305245,-0.654704147465452
31,15,33,smart,peterson,False,False,True,True,-0.7891000589306154,False,0.15886151696870796,-11.16427248677249,1.0700734515467036,0.654704147465452
32,16,36,smart,our,False,False,True,True,-0.046575565875656956,False,1.161977697557839,1.3194047619047637,1.3671150623335335,2.665824014336927
33,16,36,smart,peterson,True,False,False,False,0.12174347874980154,False,0.8606017155937914,-1.3194047619047637,0.7314673267465114,-2.665824014336927
34,17,37,smart,our,True,False,False,False,0.1185014886619581,False,4.913418730997348,6.231342857142856,0.7416704507895311,-2.436327393592684
35,17,37,smart,peterson,False,False,True,True,-0.8311645009876273,False,0.2035242780533414,-6.231342857142856,1.348307727421888,2.436327393592684
36,18,46,smart,our,True,False,False,False,0.15029742631764959,False,3.910337679438073,6.230866666666671,1.683219821543701,2.9541246153289222
37,18,46,smart,peterson,False,False,True,True,-0.5048500698981039,False,0.2557323898798691,-6.230866666666671,0.594099467699286,-2.9541246153289222
38,19,47,smart,our,False,False,False,False,-6.181445688297915,True,1.1005687597020144,0.8137956989247215,-0.839115143579036,-3.767089065255732
39,19,47,smart,peterson,True,False,False,False,2.950529673275737,False,0.9086211026658215,-0.8137956989247215,-1.1917315610998864,3.767089065255732
40,20,48,smart,our,False,False,False,False,-1.2271620306990996,True,-0.34829781078213967,5.712462365591399,1.2259926795670453,-1.1974544973544994
41,20,48,smart,peterson,False,False,False,False,-0.20039983574033507,True,-2.8711061885643034,-5.712462365591399,0.8156655554853283,1.1974544973544994
42,21,49,smart,our,False,True,False,False,2.3376050593366835,False,-1.775036707519388,-10.95366666666667,0.3730485109661154,3.5280262626262697
43,21,49,smart,peterson,False,False,False,False,-1.7014438587687197,True,-0.5633686310620015,10.95366666666667,2.6806165166300087,-3.5280262626262697
44,22,5,smart,our,False,False,True,True,-0.12184802495030704,False,6.988142314380991,4.971066666666658,2.2429239603207733,3.660829837028757
45,22,5,smart,peterson,False,False,True,True,-0.7181471101999967,False,0.1430995470630423,-4.971066666666658,0.44584659029501134,-3.660829837028757
46,23,52,smart,our,False,False,False,False,-0.8124742213818937,True,0.6580181618600877,0.5192424242424352,0.949742221530705,0.28193018236243717
47,23,52,smart,peterson,False,False,False,False,-0.7293370306442932,True,1.5197148923263715,-0.5192424242424352,1.0529172835849019,-0.28193018236243717
48,24,53,smart,our,False,False,True,True,-0.3309306807887106,False,0.7961127215388639,-2.684025974025971,1.3990347962435439,4.467682334869437
49,24,53,smart,peterson,True,False,False,False,0.17577729051510668,False,1.2561035302476107,2.684025974025971,0.7147785049271356,-4.467682334869437
50,25,55,smart,our,True,False,False,False,3.413098968623502,False,-1.6045485179825663,12.096521164021162,0.4875468251811194,-1.774904864311324
51,25,55,smart,peterson,False,False,True,True,-2.3409332078457217,False,-0.6232282718738363,-12.096521164021162,2.051085041172217,1.774904864311324
52,26,56,smart,our,True,False,False,False,0.12300329276184413,False,1.4667241865470995,6.217976190476186,1.388686876225897,4.870255183328595
53,26,56,smart,peterson,True,False,False,True,0.06325371117534462,False,0.68179144325298,-6.217976190476186,0.7201047385986317,-4.870255183328595
54,27,59,smart,our,False,False,False,False,-6.255453396885186,True,4.60151229047956,6.872314285714282,-0.350885304928882,-6.4322335567658016
55,27,59,smart,peterson,False,False,True,True,-0.5992488444460065,False,0.21731985853193975,-6.872314285714282,-2.8499341122384183,6.4322335567658016
56,28,60,smart,our,True,False,False,False,0.1286745526901381,False,1.4937120856835777,5.447096774193554,1.9124876300208362,6.96655138688471
57,28,60,smart,peterson,True,False,False,False,0.4451085594258586,False,0.6694730594901515,-5.447096774193554,0.5228791989567562,-6.96655138688471
58,29,61,smart,our,True,False,False,False,2.556231081824431,False,-61.49841669197057,15.492215053763445,-4.11798053113689,5.327614638447983
59,29,61,smart,peterson,False,False,False,False,-0.7618720749750795,True,-0.01626058122778571,-15.492215053763445,-0.24283747638892317,-5.327614638447983
60,30,70,smart,our,True,False,False,True,0.04097420514308227,False,0.7236897379267895,-5.102380952380948,0.9545009492508261,-0.6119476671476747
61,30,70,smart,peterson,True,False,False,False,0.3729790749847729,False,1.3818076277615572,5.102380952380948,1.0476678947096758,0.6119476671476747
62,31,74,smart,our,False,False,False,False,-1.734982503498608,True,-1.4719042354073477,6.6490692640692615,1.1999707142410427,-0.8976923422654508
63,31,74,smart,peterson,False,False,False,False,-0.4008051213781489,True,-0.6793920256118097,-6.6490692640692615,0.8333536711622832,0.8976923422654508
64,32,75,smart,our,False,False,True,True,-0.2429016057154983,False,1.5320146468668527,4.424772727272739,2.555377774338374,10.243744731970544
65,32,75,smart,peterson,True,False,False,False,0.26282892510102024,False,0.6527352738076726,-4.424772727272739,0.3913315714185998,-10.243744731970544
66,33,76,smart,our,False,False,False,False,-3.0125087877132772,True,-6.959360962793314,1.8068783068783034,-0.7059414247168744,-1.897045417306714
67,33,76,smart,peterson,False,False,True,True,-1.2041442207767452,False,-0.14369135404044697,-1.8068783068783034,-1.4165481228149504,1.897045417306714
68,34,77,smart,our,False,False,True,True,-0.01559619928869065,False,4.7514144916955665,7.3407142857142915,1.335041111530024,2.3702620676814306
69,34,77,smart,peterson,False,False,True,True,-0.7234045679254094,False,0.21046364230015743,-7.3407142857142915,0.7490406035915628,-2.3702620676814306
70,35,79,smart,our,True,False,False,False,1.1742062320928588,False,1.52701818498939,3.3573428571428607,0.6914965951736861,-1.9961054554764246
71,35,79,smart,peterson,False,False,True,True,-0.015430057430476896,False,0.6548710485769024,-3.3573428571428607,1.4461387185121652,1.9961054554764246
72,36,82,smart,our,True,False,False,False,0.486662606200622,False,2.020965753554886,9.46086666666666,19.482481442312725,11.950395847879726
73,36,82,smart,peterson,True,False,False,False,13.331700863973733,False,0.49481293695402623,-9.46086666666666,0.05132816386665025,-11.950395847879726
74,37,85,smart,our,True,False,False,False,1.932650077981268,False,1.5415114971579489,5.418580645161299,0.715077395598514,-2.0957440275773536
75,37,85,smart,peterson,True,False,False,False,0.3603997010926936,False,0.6487139420261725,-5.418580645161299,1.3984500225503675,2.0957440275773536
76,38,88,smart,our,False,False,False,False,-5.24228414348506,True,-1.6760670422113748,5.569612903225803,0.1751834415455573,3.871541975308645
77,38,88,smart,peterson,False,False,False,False,-0.5565941471593385,True,-0.5966348450361608,-5.569612903225803,5.708302058559257,-3.871541975308645
78,39,89,smart,our,True,False,False,True,0.07656637596269743,False,1.0591743742564075,1.0415714285714301,1.7184764585256067,7.240207166907155
79,39,89,smart,peterson,True,False,False,False,0.7466944235985242,False,0.9441316031668999,-1.0415714285714301,0.5819107937375909,-7.240207166907155
