rating_int,y_unit,psi,bin_count,W_obs,alpha_prior
0,0.0049504950495049506,0.0,377,345.72370681495676,3464.175983339963
1,0.01485148514851485,0.0077841047647338535,528,535.067202872265,2475.3469219329036
2,0.024752475247524754,0.015112655839864457,574,617.7063752206054,2277.3191681782714
3,0.034653465346534656,0.024147899376496116,494,580.1136881578313,2645.370750914153
4,0.04455445544554455,0.030917770679888327,522,671.9770148635796,2503.744783369992
5,0.054455445544554455,0.04152479044069936,427,591.4581383078753,3059.4825273423035
6,0.06435643564356436,0.049212702242893286,426,639.6972551860623,3066.6475918091473
7,0.07425742574257425,0.06056924475946497,349,566.1092779446606,3741.31006200716
8,0.08415841584158416,0.07175735070545872,289,512.4743694395514,4515.374212767261
9,0.09405940594059406,0.07617411566095462,302,586.6749649204776,4321.645286146884
10,0.10396039603960396,0.07617411566095462,256,503.4053199265884,5095.169345145938
11,0.11386138613861387,0.07617411566095462,268,543.9962891826281,4867.875545362475
12,0.12376237623762376,0.07617411566095462,227,480.18209524745936,5743.239130274149
13,0.13366336633663367,0.07617411566095462,218,489.04567584018764,5866.749649204776
14,0.14356435643564355,0.07617411566095462,232,531.3872530889978,5619.993655375562
15,0.15346534653465346,0.07617411566095462,270,659.68961986272,4831.950264584893
16,0.16336633663366337,0.07617411566095462,318,778.2334238134418,4104.885647970238
17,0.17326732673267325,0.07617411566095462,366,1035.5878052927392,3568.0068711239946
18,0.18316831683168316,0.07617411566095462,412,991.1283151400314,3170.6017474636947
19,0.19306930693069307,0.07617411566095462,502,1248.1052787783715,2603.2972598459364
20,0.20297029702970298,0.07617411566095462,500,1281.7749346108728,2613.689664076858
21,0.21287128712871287,0.07617411566095462,695,1935.5198861962429,1881.405921986359
22,0.22277227722772278,0.07617411566095462,793,2160.3791282915336,1649.1920928243148
23,0.23267326732673269,0.07617411566095462,911,2559.9997850257414,1435.8097825685372
24,0.24257425742574257,0.07617411566095462,1065,3136.545857204531,1228.385104786591
25,0.2524752475247525,0.07617411566095462,1002,3157.711662725961,1305.5418960144627
26,0.2623762376237624,0.07617411566095462,1118,3800.8899371744224,1170.204219573285
27,0.2722772277227723,0.07617411566095462,1235,4690.151331617147,1059.4324609243574
28,0.28217821782178215,0.07617411566095462,1027,4111.995968172432,1273.7923362864844
29,0.29207920792079206,0.07617411566095462,1071,4548.339244679097,1221.5098150209944
