photo,Theta,sigma,n
1.jpg,1.215315022718025,0.870995746367622,47
10.jpg,0.7658579512349466,0.49668822162338727,44
100.jpg,-0.5247361534291978,0.6143134593103982,43
1000.jpg,-0.1363981000642837,0.2941320826071572,42
1001.jpg,-0.6034579252380858,0.6787246987890768,34
1002.jpg,-0.17043719854522038,0.32495908007025365,33
1003.jpg,-0.5974558455633785,0.6736299612243332,34
1004.jpg,-0.986514829365152,1.0029076297768649,37
101.jpg,0.9135729063291016,0.6259514200632643,44
102.jpg,2.8342933070615692,2.231791767058474,43
103.jpg,-0.5800845889876813,0.659151650413615,42
104.jpg,-0.305303837192148,0.43181932566193326,47
105.jpg,-0.4933334984819971,0.5873655560563666,39
106.jpg,-0.5674628423295529,0.6486131839817635,45
107.jpg,0.07720357656962935,0.1652165582032771,41
108.jpg,-0.5903169460654395,0.667624842948295,41
109.jpg,-0.5974558455633784,0.6736299612243332,33
11.jpg,-0.017532249372011106,0.20863738452939012,42
110.jpg,-0.930975042987277,0.9565109900032865,36
111.jpg,1.8048988167640858,1.3687765611548584,37
112.jpg,-0.5949410652721864,0.6715058629570081,37
113.jpg,-0.4291464230255226,0.5472354408375788,35
114.jpg,-1.0372700577290577,1.045929809079588,35
115.jpg,-0.5757505563269107,0.6554350845791542,39
116.jpg,2.413314172497415,1.8783961037103842,35
117.jpg,-0.2242411423041353,0.3648354524250644,35
118.jpg,0.18390270159177538,0.12056130475719014,38
119.jpg,-0.5607421104372,0.6431212129414581,36
12.jpg,-0.8058277822737607,0.8501109575375984,44
120.jpg,-0.6151920915104562,0.6886889499525406,37
121.jpg,-0.5974558455633785,0.6736299612243332,39
122.jpg,-0.5974558455633785,0.6736299612243332,38
123.jpg,2.826493818572705,2.2284948776921367,37
124.jpg,-0.5974558455633785,0.6736299612243332,38
125.jpg,2.506447776927202,1.9574685374554202,36
126.jpg,1.0888221784206604,0.7717229052468598,34
127.jpg,-0.8980587874651192,0.9281479172419073,38
128.jpg,-0.5775590019454933,0.657070308980827,40
129.jpg,-0.9082349981064584,0.9367262452210022,38
13.jpg,0.5471538198444149,0.31236228383461545,42
130.jpg,1.0484254486005609,0.7306000606322599,39
131.jpg,-0.5974558455633785,0.6736299612243332,35
132.jpg,1.3318100467682423,0.9681216420860544,39
133.jpg,-0.5951864096908392,0.671713100738119,41
134.jpg,0.43022171002521303,0.23936633977272145,38
135.jpg,-0.25695149957318186,0.3926629791873802,35
136.jpg,-0.6755095966080437,0.7398158970302147,33
137.jpg,-0.573338459359881,0.6535576395354954,33
138.jpg,0.6018775116558538,0.37119247355474555,37
139.jpg,-0.5306271719811034,0.6186864143502914,38
14.jpg,-0.5659546499363813,0.6471927020932348,42
140.jpg,0.4087606319258888,0.21701606378474353,40
141.jpg,-0.46759576150685167,0.5663980383586443,35
142.jpg,-0.5751389773218483,0.6549306093237884,42
143.jpg,0.3595142069015516,0.1869131293804189,37
144.jpg,0.8195522697855451,0.5472337979039387,38
145.jpg,-0.5313721517191915,0.6184589705271585,37
146.jpg,0.7070388513043931,0.45401560516455036,35
147.jpg,2.695642936140134,2.1147448229872396,36
148.jpg,0.6049903464710706,0.37343549518062347,38
149.jpg,3.077975509096853,2.4376682397915994,42
15.jpg,-0.5974558455633785,0.6736299612243332,40
150.jpg,-0.19482464446035944,0.3473538203778898,37
151.jpg,1.187504728141215,0.8489928576566099,40
152.jpg,-1.0216339843492346,1.0326384378694864,40
153.jpg,-0.4396136826087119,0.5434728380078192,38
154.jpg,1.1911447346797914,0.8524514208400471,37
155.jpg,-0.5868031493040026,0.66468587635496,36
156.jpg,-0.4508460302032405,0.5514766162181615,38
157.jpg,-0.9917028590864987,1.0073438079160466,38
158.jpg,1.1409554574938006,0.8145809628834172,38
159.jpg,-0.476449199448741,0.5727085981785621,41
16.jpg,3.1316579434936185,2.483561788632005,42
160.jpg,1.8796024672777132,1.429551786490956,39
161.jpg,-0.5974558455633785,0.6736299612243332,39
162.jpg,-0.28552360334778415,0.4151511074743502,38
163.jpg,2.2274376204443658,1.7223161502256845,39
164.jpg,-0.97489371288563,0.9931198378409462,40
165.jpg,-0.2622326922977767,0.39854255647072806,39
166.jpg,-0.5974558455633785,0.6736299612243332,35
167.jpg,1.3000356106407187,0.9431978431805845,40
168.jpg,-0.5285227980684979,0.6167415464740771,38
169.jpg,0.7704834665269723,0.4995913604600701,35
17.jpg,-0.5808585698364982,0.6598424395790343,39
170.jpg,0.8338890814643866,0.5584237746466212,34
171.jpg,-0.16367865879518909,0.3287432089079332,40
172.jpg,-0.6252617232854806,0.6972103157267368,34
173.jpg,-0.16503438787680125,0.33484596918754067,38
174.jpg,-0.8593333874117204,0.8954204505333989,41
175.jpg,-0.5842698598298846,0.662598661409559,42
176.jpg,-0.56961218025788,0.6504791467421072,38
177.jpg,-0.036555413724400514,0.22339766296504138,38
178.jpg,-0.5870910600137155,0.6649276363452075,37
179.jpg,-0.37058474570756206,0.48432828151336516,42
18.jpg,-0.5955949081478965,0.6720581474692402,50
180.jpg,-0.5925586418384253,0.6694933768099484,38
181.jpg,-0.28919618491793936,0.4215148171395111,40
182.jpg,-0.4785073707432061,0.5748230365708565,41
183.jpg,-0.5637137169253247,0.6454857709319588,40
184.jpg,-0.406899234189772,0.5162215474626545,41
185.jpg,-0.5974558455633785,0.6736299612243332,36
186.jpg,-0.595007243700902,0.6715617628070994,38
187.jpg,-0.5718986541735088,0.6522706837015652,40
188.jpg,-0.5655640154379071,0.6473108750449266,37
189.jpg,1.798988119369092,1.3641234455887536,34
19.jpg,-0.5974558455633787,0.6736299612243332,46
190.jpg,0.35119223666536303,0.16162125886174672,41
191.jpg,-0.3228230394705792,0.447893717753051,35
192.jpg,-0.24752752869208344,0.3824859172691586,36
193.jpg,1.6661547209486343,1.2476834683320195,36
194.jpg,-0.9083107849726292,0.9367944279960728,36
195.jpg,-0.43712266100501873,0.5426092424774125,39
196.jpg,-0.45066066045726405,0.5532929739538007,40
197.jpg,1.121153275276134,0.7952675929039497,34
198.jpg,-0.012524437734586074,0.20102080034198613,34
199.jpg,-0.27610889453423093,0.4077250444374547,33
2.jpg,-0.5678596398691802,0.648804724816212,50
20.jpg,-0.5974558455633786,0.6736299612243332,44
200.jpg,2.038340252312023,1.5648201930988859,35
201.jpg,1.8437515217800142,1.3994322055882253,38
202.jpg,-0.4035472062818237,0.5137679235369947,33
203.jpg,-0.5527106022823646,0.6364256254579321,37
204.jpg,-0.5974558455633785,0.6736299612243332,36
205.jpg,-0.4039666357895094,0.5176166207173681,32
206.jpg,-0.294135312570673,0.4242536692736405,33
207.jpg,-0.5974558455633785,0.6736299612243332,36
208.jpg,-0.4286355386752641,0.5343321204508262,35
209.jpg,-0.5184323959819275,0.6078113693972135,37
21.jpg,-0.5746630092687753,0.6546297547616876,39
210.jpg,-0.5275030785953443,0.6157863880086867,39
211.jpg,-0.5120202368434847,0.6025699656356978,37
212.jpg,-0.07048539656536693,0.2455643584299124,36
213.jpg,-0.4636357760420468,0.5619336664055897,35
214.jpg,-0.6334631116189424,0.7041922829165402,33
215.jpg,-0.21626159795930647,0.36997857125912265,39
216.jpg,-0.5352929237708628,0.6220569509496408,35
217.jpg,-0.5974558455633785,0.6736299612243332,38
218.jpg,-1.0382019064209158,1.0466393519616988,36
219.jpg,-0.47010822159746424,0.5715805379502538,37
22.jpg,-0.1813399829924763,0.33456245657526495,42
220.jpg,-0.5748311745184623,0.6546030651834366,34
