epoch,lr-SGD/pg1,lr-SGD/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.009696969697000003,0.009696969697000003,,49,,,,
0,,,,49,0.162109375,-0.10392992943525314,,
,0.009696969697000003,0.009696969697000003,,99,,,,
0,,,,99,0.1328125,-0.10408351570367813,,
0,,,,107,,,0.13819999992847443,-0.10463498532772064
0,,,7.259175777435303,107,,,,
,0.009696969697000003,0.009696969697000003,,149,,,,
1,,,,149,0.14453125,-0.10699883103370667,,
,0.009696969697000003,0.009696969697000003,,199,,,,
1,,,,199,0.19140625,-0.10774745047092438,,
1,,,,215,,,0.20360000431537628,-0.10644837468862534
1,,,3.207444429397583,215,,,,
,0.009696969697000003,0.009696969697000003,,249,,,,
2,,,,249,0.232421875,-0.10753054916858673,,
,0.009696969697000003,0.009696969697000003,,299,,,,
2,,,,299,0.22265625,-0.10805977880954742,,
2,,,,323,,,0.20000000298023224,-0.1068909764289856
2,,,3.056370258331299,323,,,,
,0.009696969697000003,0.009696969697000003,,349,,,,
3,,,,349,0.19140625,-0.1082308292388916,,
,0.009696969697000003,0.009696969697000003,,399,,,,
3,,,,399,0.146484375,-0.10737062990665436,,
3,,,,431,,,0.12060000002384186,-0.1066402718424797
3,,,3.4182963371276855,431,,,,
,0.009696969697000003,0.009696969697000003,,449,,,,
4,,,,449,0.119140625,-0.10478663444519043,,
,0.009696969697000003,0.009696969697000003,,499,,,,
4,,,,499,0.103515625,-0.1068023294210434,,
4,,,,539,,,0.1080000028014183,-0.10612219572067261
4,,,3.1162593364715576,539,,,,
,0.009696969697000003,0.009696969697000003,,549,,,,
5,,,,549,0.119140625,-0.10567809641361237,,
,0.009696969697000003,0.009696969697000003,,599,,,,
5,,,,599,0.126953125,-0.1075139194726944,,
5,,,,647,,,0.1080000028014183,-0.10556666553020477
5,,,3.1872222423553467,647,,,,
,0.009696969697000003,0.009696969697000003,,649,,,,
6,,,,649,0.111328125,-0.10555072128772736,,
,0.009696969697000003,0.009696969697000003,,699,,,,
6,,,,699,0.099609375,-0.10403753072023392,,
,0.009696969697000003,0.009696969697000003,,749,,,,
6,,,,749,0.134765625,-0.10707195848226547,,
6,,,,755,,,0.1080000028014183,-0.10509108006954193
6,,,3.4347314834594727,755,,,,
,0.009696969697000003,0.009696969697000003,,799,,,,
7,,,,799,0.107421875,-0.10422511398792267,,
,0.009696969697000003,0.009696969697000003,,849,,,,
7,,,,849,0.115234375,-0.10567642003297806,,
7,,,,863,,,0.1080000028014183,-0.10474430024623871
7,,,3.108036994934082,863,,,,
,0.009696969697000003,0.009696969697000003,,899,,,,
8,,,,899,0.09765625,-0.10352665185928345,,
,0.009696969697000003,0.009696969697000003,,949,,,,
8,,,,949,0.146484375,-0.10940839350223541,,
8,,,,971,,,0.1080000028014183,-0.10457950085401535
8,,,3.245046377182007,971,,,,
,0.009696969697000003,0.009696969697000003,,999,,,,
9,,,,999,0.103515625,-0.10375156998634338,,
,0.009696969697000003,0.009696969697000003,,1049,,,,
9,,,,1049,0.11328125,-0.10532785952091217,,
9,,,,1079,,,0.1080000028014183,-0.10459186136722565
9,,,2.98502779006958,1079,,,,
,0.009696969697000003,0.009696969697000003,,1099,,,,
10,,,,1099,0.125,-0.10696864128112793,,
,0.009696969697000003,0.009696969697000003,,1149,,,,
10,,,,1149,0.1328125,-0.10912302136421204,,
10,,,,1187,,,0.1080000028014183,-0.1048220545053482
10,,,2.962935209274292,1187,,,,
,0.009696969697000003,0.009696969697000003,,1199,,,,
11,,,,1199,0.09375,-0.10230027139186859,,
,0.009696969697000003,0.009696969697000003,,1249,,,,
11,,,,1249,0.12109375,-0.10778363049030304,,
11,,,,1295,,,0.1080000028014183,-0.1053178682923317
11,,,2.955324172973633,1295,,,,
,0.009696969697000003,0.009696969697000003,,1299,,,,
12,,,,1299,0.099609375,-0.10320384800434113,,
,0.009696969697000003,0.009696969697000003,,1349,,,,
12,,,,1349,0.107421875,-0.1054125651717186,,
,0.009696969697000003,0.009696969697000003,,1399,,,,
12,,,,1399,0.103515625,-0.10472821444272995,,
12,,,,1403,,,0.1080000028014183,-0.10614553093910217
12,,,2.9509074687957764,1403,,,,
,0.009696969697000003,0.009696969697000003,,1449,,,,
13,,,,1449,0.10546875,-0.10582365095615387,,
,0.009696969697000003,0.009696969697000003,,1499,,,,
13,,,,1499,0.107421875,-0.10777071863412857,,
13,,,,1511,,,0.1080000028014183,-0.10734471678733826
13,,,2.953648090362549,1511,,,,
,0.009696969697000003,0.009696969697000003,,1549,,,,
14,,,,1549,0.115234375,-0.10988166928291321,,
,0.009696969697000003,0.009696969697000003,,1599,,,,
14,,,,1599,0.091796875,-0.10245149582624435,,
14,,,,1619,,,0.1080000028014183,-0.10890665650367737
14,,,2.9628427028656006,1619,,,,
,0.009696969697000003,0.009696969697000003,,1649,,,,
15,,,,1649,0.107421875,-0.10895127058029175,,
,0.009696969697000003,0.009696969697000003,,1699,,,,
15,,,,1699,0.111328125,-0.11162851005792618,,
15,,,,1727,,,0.1080000028014183,-0.11069029569625854
15,,,2.9264259338378906,1727,,,,
,0.009696969697000003,0.009696969697000003,,1749,,,,
16,,,,1749,0.11328125,-0.1136535108089447,,
,0.009696969697000003,0.009696969697000003,,1799,,,,
16,,,,1799,0.115234375,-0.11494092643260956,,
16,,,,1835,,,0.1080000028014183,-0.11244218796491623
16,,,2.783592700958252,1835,,,,
,0.009696969697000003,0.009696969697000003,,1849,,,,
17,,,,1849,0.125,-0.12070406973361969,,
,0.009696969697000003,0.009696969697000003,,1899,,,,
17,,,,1899,0.1015625,-0.10972705483436584,,
17,,,,1943,,,0.1080000028014183,-0.11398745328187943
17,,,2.833601951599121,1943,,,,
,0.009696969697000003,0.009696969697000003,,1949,,,,
18,,,,1949,0.111328125,-0.11543011665344238,,
,0.009696969697000003,0.009696969697000003,,1999,,,,
18,,,,1999,0.099609375,-0.109901562333107,,
,0.009696969697000003,0.009696969697000003,,2049,,,,
18,,,,2049,0.12890625,-0.1265762895345688,,
18,,,,2051,,,0.1080000028014183,-0.11525848507881165
18,,,2.8212130069732666,2051,,,,
,0.009696969697000003,0.009696969697000003,,2099,,,,
