epoch,lr-AdamW/pg1,lr-AdamW/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.009696969697000003,0.009696969697000003,,2699,,,,
24,,,,2699,0.9814814925193787,-0.9800140261650085,,
24,,,,2699,,,0.973800003528595,-0.9670675992965698
24,,,6.903435230255127,2699,,,,
,0.009696969697000003,0.009696969697000003,,2749,,,,
25,,,,2749,0.986328125,-0.9784964323043823,,
,0.009696969697000003,0.009696969697000003,,2799,,,,
25,,,,2799,0.96484375,-0.9610171318054199,,
25,,,,2807,,,0.9764000177383423,-0.9676706790924072
25,,,6.246250152587891,2807,,,,
,0.009696969697000003,0.009696969697000003,,2849,,,,
26,,,,2849,0.986328125,-0.9805246591567993,,
,0.009696969697000003,0.009696969697000003,,2899,,,,
26,,,,2899,0.990234375,-0.9811681509017944,,
26,,,,2915,,,0.9710000157356262,-0.9662784337997437
26,,,5.584222316741943,2915,,,,
,0.009696969697000003,0.009696969697000003,,2949,,,,
27,,,,2949,0.986328125,-0.9782177209854126,,
,0.009696969697000003,0.009696969697000003,,2999,,,,
27,,,,2999,0.98046875,-0.9741029739379883,,
27,,,,3023,,,0.9721999764442444,-0.9657539129257202
27,,,5.936546325683594,3023,,,,
,0.009696969697000003,0.009696969697000003,,3049,,,,
28,,,,3049,0.9921875,-0.9814326763153076,,
,0.009696969697000003,0.009696969697000003,,3099,,,,
28,,,,3099,0.982421875,-0.9789673089981079,,
28,,,,3131,,,0.97079998254776,-0.9641058444976807
28,,,5.438722133636475,3131,,,,
,0.009696969697000003,0.009696969697000003,,3149,,,,
29,,,,3149,0.994140625,-0.9880944490432739,,
,0.009696969697000003,0.009696969697000003,,3199,,,,
29,,,,3199,0.98046875,-0.9745186567306519,,
29,,,,3239,,,0.972599983215332,-0.9657967686653137
29,,,4.918703556060791,3239,,,,
